model_name,accuracy_test,accuracy_train,weighted_f1_test,weighted_f1_train,weighted_precision_test,weighted_precision_train,weighted_recall_test,weighted_recall_train,roc_auc_ovr_test,roc_auc_ovr_train,training_time_test,training_time_train,memory_usage_test,memory_usage_train,cohens_kappa_test,cohens_kappa_train,matthews_corrcoef_test,matthews_corrcoef_train,log_loss_test,log_loss_train,confidence_mean_test,confidence_mean_train,confidence_std_test,confidence_std_train,prediction_entropy_test,prediction_entropy_train,ensemble_size,ensemble_type,family,is_ensemble,is_boosting,is_parametric,overfit_gap_f1,underfit_score_f1,brier_approx,z_time,z_mem,complexity_score,co2_proxy,cluster,tradeoff_score
lightgbm_xgboost_parametric,0.8461922596754058,0.9707240948813982,0.8401416550785201,0.9708378584507412,0.8386961344402221,0.9711165502505412,0.8461922596754058,0.9707240948813982,0.8976960638323193,0.9964120607540632,5.046723365783691,5.046723365783691,0.0,0.0,0.6173695857303181,0.931196680582189,0.619965081577926,0.9312984339403544,0.4048712715138859,0.1861520274995873,0.81962367012963,0.8511370190916684,0.1459518045271293,0.1250036228347265,0.4654456166069143,0.4148571062989439,2,parametric,tree_boosting,True,True,True,0.1306962033722211,0.8401416550785201,0.5841057756114922,-0.2375546160715663,-0.6123580329326753,-0.5999126490042417,-3.027593183158897,0,-1.077701391181546
xgboost_parametric,0.8344569288389513,0.962047440699126,0.8362825999621534,0.962836417608226,0.8389827709498775,0.9668435814469176,0.8344569288389513,0.962047440699126,0.8902928580438418,0.9995055809114544,82.34166932106018,82.34166932106018,0.0,0.0,0.6191851960210649,0.9147917932302684,0.6199005599026719,0.9180848040119264,0.5986778081635075,0.325540174159531,0.7237248941063475,0.7552014702960861,0.1335407401312382,0.1390852286963499,0.7105112612856637,0.6496761620761662,1,parametric,tree_boosting,True,True,True,0.12655381764607265,0.8362825999621534,0.8637095049277664,-0.1656023709681555,-0.6123580329326753,-0.7779604039008308,-64.05855832288063,0,-27.52284039599181
lightgbm_advancedsvm_parametric,0.8421972534332085,0.9613607990012484,0.8315075457965337,0.9614828779560408,0.8318442266168561,0.96171948784135,0.8421972534332085,0.9613607990012484,0.8836594233016312,0.991666184823215,800.4437618255615,800.4437618255615,4.900000000000006,4.900000000000006,0.5906493466167391,0.908963675438085,0.5985866590577488,0.9090195959353888,0.4661024343930869,0.3044680519974891,0.7410767290410182,0.7582090500030892,0.1352369637849783,0.1279549977835904,0.6169631163735407,0.5921100213774979,2,parametric,mixed,True,False,True,0.12997533215950707,0.8315075457965337,0.67244367064518,0.502863815670389,2.003873887423826,2.756737703094215,2206.613497431091,3,-842.1830728532025
xgboost_randomforest_parametric,0.8454431960049937,0.9535580524344568,0.8312134562922139,0.9525517705515556,0.836173057818387,0.9541871777905382,0.8454431960049937,0.9535580524344568,0.8918430380259069,0.992744421155333,4.458896398544312,4.458896398544312,0.0,0.0,0.5881687184348153,0.8853739649772632,0.6017905359311019,0.8876708110791122,0.5930157534571501,0.4871996717818626,0.6201422043391173,0.6297135052643759,0.076931172078673,0.0727392595023685,0.8983489887217813,0.8893692936586934,2,parametric,mixed,True,False,True,0.12133831425934172,0.8312134562922139,0.8555408866816626,-0.2381018118746357,-0.6123580329326753,-0.6004598448073111,-2.6773882394817963,0,-0.8627570950835831
lightgbm_parametric,0.8252184769038702,0.9619225967540574,0.8290095373584934,0.9626940744034854,0.835167407449702,0.966711525130378,0.8252184769038702,0.9619225967540574,0.8922886241577109,0.9994351384592058,16.94133758544922,16.94133758544922,0.2000000000000028,0.2000000000000028,0.6068246324262602,0.9145251045703416,0.6088911024651728,0.9178803849797024,0.5127162339918537,0.2495387025408735,0.7796821008305211,0.8075770221072952,0.1271759504485093,0.1154501224125676,0.6044280214976914,0.558905263941119,1,parametric,tree_boosting,True,True,True,0.13368453704499206,0.8290095373584934,0.7396931681633128,-0.22648216900317597,-0.5055730565915922,-0.7320552255947682,-12.401994707993154,0,-5.221260313767486
parametric_lightgbm_advancedsvm_randomforest,0.8374531835205993,0.9550561797752808,0.8288672623281003,0.9552680762324532,0.8275366746117266,0.9556454606603968,0.8374531835205993,0.9550561797752808,0.8828859702756977,0.98987597335334,426.7738263607025,426.7738263607025,3.700000000000003,3.700000000000003,0.5864144977759462,0.8945662765723714,0.5913090509667347,0.8946910443711096,0.5854718436071851,0.4781102167567463,0.6221730807205607,0.6336620533505289,0.0922663067834401,0.087989562330014,0.8689183774140543,0.8579215492995317,3,parametric,mixed,True,False,True,0.12640081390435298,0.8288672623281003,0.8446573253522047,0.15502230479204607,1.3631640293773353,2.018186334169381,861.3091041423462,3,-385.9298667464924
gradientboost_parametric,0.821972534332085,0.9058676654182272,0.827548981534752,0.9096476458619644,0.8363115997261826,0.922799384215495,0.821972534332085,0.9058676654182272,0.8886360554090021,0.9786311407416972,533.4950129985809,533.4950129985809,0.0,0.0,0.603588652245979,0.7970819096906749,0.6064168240631833,0.8057935430533373,0.6545907438980799,0.4897736395424821,0.6912803080082467,0.700868110617928,0.1429949379021149,0.1436099195414464,0.7573223963535383,0.7420025114214686,1,parametric,traditional_boosting,True,True,True,0.08209866432721247,0.827548981534752,0.9443748200335774,0.25436682057886756,-0.6123580329326753,-0.35799121235380776,-190.98652648807243,3,-227.72265222014124
gradientclassifier_parametric,0.8209737827715355,0.905992509363296,0.8267177580660109,0.9096202578580432,0.8359172924011021,0.9216528561226583,0.8209737827715355,0.905992509363296,0.8891938074689807,0.9781004601564682,509.43428444862366,509.43428444862366,0.0,0.0,0.6023922222660687,0.7963929063661661,0.6054579205563978,0.804261342096992,0.6553820963692821,0.502335864152716,0.6785498987245446,0.6873920405822574,0.1431721699250014,0.143996095084534,0.7775969939362001,0.7635997173937387,1,parametric,traditional_boosting,True,True,True,0.08290249979203235,0.8267177580660109,0.9455165003193761,0.2319691926796921,-0.6123580329326753,-0.38038884025298325,-193.78311664652034,3,-215.13380113694174
lightgbm_randomforest_parametric,0.8164794007490637,0.943632958801498,0.8211668774054035,0.9451800602332516,0.8293469974006263,0.952921829889964,0.8164794007490637,0.943632958801498,0.8946349468718011,0.9934398868363624,2.1768617630004883,2.1768617630004883,0.0,0.0,0.5916280897113461,0.8761296677411756,0.5946065222084056,0.882345879923187,0.6384246380952651,0.5201213814034559,0.595194678494204,0.6142941635630045,0.0889128646831445,0.0799938884396537,0.9190611369749748,0.9036458524957116,2,parametric,mixed,True,False,True,0.12401318282784812,0.8211668774054035,0.9210520593613701,-0.24022611008588132,-0.6123580329326753,-0.6025841430185567,-1.3117423799275136,0,-0.004915528109337874
parametric_xgboost_advancedsvm_randomforest,0.8397003745318352,0.921410736579276,0.8176020363673434,0.9168164660791676,0.8362393615643103,0.9255737166566832,0.8397003745318352,0.921410736579276,0.8743308865672109,0.9870883419921578,579.2523865699768,579.2523865699768,2.0,2.0,0.5478319866122773,0.7948361589757479,0.5781207234708862,0.806759090439303,0.5684353821350822,0.4658907478678611,0.6499169148482891,0.6527051613033495,0.0864528466826963,0.089935380390875,0.8418131987303388,0.8361767775301507,3,parametric,mixed,True,False,True,0.09921442971182415,0.8176020363673434,0.8200789068721059,0.29696140057123066,0.45549173047814034,1.252453131049371,725.4864652273881,3,-434.5058842940987
xgboost_advancedsvm_2model_parametric,0.8392009987515605,0.9220973782771535,0.8144104775450622,0.9172416590537424,0.840123029621409,0.9273663483550244,0.8392009987515605,0.9220973782771535,0.8753193115578588,0.989646012926025,810.8574714660645,810.8574714660645,0.0,0.0,0.5375255513717052,0.7952362514228154,0.5756460827115025,0.8090186458513255,0.4616752140703928,0.2942508598582058,0.7852176179258451,0.7879246900679429,0.1285301886993834,0.1344779345508592,0.5500405304182668,0.5371954145490283,2,parametric,mixed,True,False,True,0.1028311815086802,0.8144104775450622,0.6660565418407063,0.5125577197054958,-0.6123580329326753,0.15019968677282047,121.79053823160409,3,-428.972432901808
parametric_catboost_advancedsvm_randomforest,0.8314606741573034,0.8478152309612984,0.8067781931843581,0.8283059949925979,0.8311927334367634,0.8520406302423319,0.8314606741573034,0.8478152309612984,0.8638518782348509,0.9278125214351418,426.6980516910553,426.6980516910553,2.800000000000012,2.800000000000012,0.5168761610654056,0.5697479849183829,0.5520490394773894,0.6019570997651632,0.5879983703602074,0.5459537493444465,0.6386149933575351,0.6385788685190993,0.0854783165425313,0.0881193098934616,0.8568593958926934,0.8555562080044883,3,parametric,mixed,True,False,True,0.021527801808239877,0.8067781931843581,0.8483023329694633,0.15495176774029315,0.882631635842473,1.537583403582766,656.0838426212679,3,-344.5990161765969
catboost_parametric,0.7947565543071161,0.8161048689138577,0.8041683169287432,0.8251662255717518,0.8222883632064414,0.8454309865436412,0.7947565543071161,0.8161048689138577,0.8772860057062041,0.910642117639162,52.63359427452088,52.63359427452088,0.0,0.0,0.5613111773564179,0.6106471226563219,0.5685355513026213,0.6200703006527134,0.6698326769479869,0.6186184844316842,0.684926643777682,0.6879140518546019,0.1464220591613886,0.1468358021140061,0.765972045043745,0.7601550492002921,1,parametric,tree_boosting,True,True,True,0.020997908643008545,0.8041683169287432,0.9663642812582398,-0.19325699535376448,-0.6123580329326753,-0.8056150282864398,-42.402414540285136,0,-17.03214591227467
ngboost_parametric,0.755056179775281,0.7478152309612984,0.7723633492044663,0.765782365472066,0.801974117921602,0.7989432335559302,0.755056179775281,0.7478152309612984,0.8508785939596294,0.8480638181794317,184.44741034507751,184.44741034507751,0.0,0.0,0.4847835015531615,0.4776241302512957,0.4943042707731699,0.4891637028207843,0.7239215778732824,0.7445419989031811,0.6315605064999442,0.6346531389533105,0.159074961148981,0.1583827297466623,0.8296738423216593,0.8254060567900643,1,parametric,probabilistic_boosting,True,True,True,-0.006580983732400236,0.765782365472066,1.044398070390298,-0.07055427676447537,-0.6123580329326753,-0.6829123096971507,-125.96140701641501,0,-66.25906042005128
deepgbm_parametric,0.7732833957553059,0.9019350811485642,0.7643531193168143,0.8943824747798713,0.7592141619772786,0.9031874525170952,0.7732833957553059,0.9019350811485642,0.753529200427179,0.8174335740939461,19.64392960071564,19.64392960071564,2.5,2.5,0.4268424845242081,0.7406004615167154,0.4296771936632644,0.7551676931261315,0.8705091096575563,0.7269440812401545,0.5203557988462877,0.5375635512230329,0.1446458406979644,0.1661804039179108,0.969900076415702,0.939763006808852,1,parametric,advanced_ensemble,True,False,True,0.13002935546305705,0.7643531193168143,1.2558791755516234,-0.22396638274194378,0.7224541713308443,0.4984877885889005,9.792259025856783,0,-11.766063486212364
deepgbm_advancedsvm_parametric,0.7857677902621722,0.8766541822721599,0.751519438542983,0.861596358621054,0.7670128268878077,0.8884435474818327,0.7857677902621722,0.8766541822721599,0.7845951259328854,0.934721315533478,803.8225626945496,803.8225626945496,2.299999999999997,2.299999999999997,0.3633037079611633,0.6519034974244251,0.401389258501944,0.6878941611539376,0.6442711050311938,0.5476526644865318,0.6436142345816277,0.6444459236409164,0.0858945017147262,0.0858270020996371,0.8606681342318054,0.8597146342945524,2,parametric,mixed,True,False,True,0.11007692007807102,0.751519438542983,0.9294867282165558,0.5060090705803505,0.6156691949897611,1.3716782655701116,1102.585938622982,3,-622.3669496333282
mixture_of_experts_parametric,0.7238451935081148,1.0,0.7274073624343216,1.0,0.7316059388315237,1.0,0.7238451935081148,1.0,0.7607243588987618,1.0,1652.186618089676,1652.186618089676,0.0,0.0,0.3659692017277812,1.0,0.3664045992658249,1.0,0.9353106630389928,0.6333276628628347,0.5131828096478316,0.5559537437830046,0.1476459347488569,0.1835678368156492,0.9760243716205894,0.9138761243155016,1,parametric,other,True,False,True,0.2725926375656784,0.7274073624343216,1.3493680552569232,1.295733388209513,-0.6123580329326753,0.6833753552768377,1129.0636171206693,4,-1051.1786251065375
randomforest_parametric,0.6549313358302122,0.6567415730337078,0.6800334744205202,0.6817760580582157,0.7545016215400785,0.7555073409577192,0.6549313358302122,0.6567415730337078,0.8028212581384264,0.8202030536882557,10.687069177627563,10.687069177627563,0.0,0.0,0.3645127834896015,0.3667689432263021,0.3922186103412474,0.3942744689999582,0.8006113396615225,0.7776650722187477,0.6753702753921703,0.6779074466600675,0.1520055048688778,0.1549668719200775,0.7505294665674348,0.7440916420717473,1,parametric,tree_bagging,True,False,True,0.0017425836376955273,0.6800334744205202,1.1550380094091481,-0.2323041363758226,-0.6123580329326753,-0.8446621693084979,-9.026963035124883,0,-2.858108507368285
neuralnetwork_parametric,0.650187265917603,0.6770911360799001,0.674790706481639,0.7008403268658372,0.7397557908511869,0.7643647529611207,0.650187265917603,0.6770911360799001,0.7720866261847699,0.8220943279987826,52.294145345687866,52.294145345687866,5.1000000000000085,5.1000000000000085,0.3452081497531316,0.3919575249129037,0.3677564904080634,0.4163520172584594,0.8766767908578205,0.8374196042026826,0.5673730850054762,0.571255105362756,0.1504474618685424,0.1532866584388393,0.8996237722778575,0.8933911815025093,1,parametric,neural_networks,True,False,True,0.026049620384198224,0.674790706481639,1.2647772586330286,-0.19357298124683459,2.1106588637649093,1.9170858825180748,100.2523677805665,0,-47.0527555224756
advancedsvm_parametric,0.5772784019975031,0.5923845193508115,0.6062984364868805,0.6202162867362593,0.7384144189431137,0.7622662641630542,0.5772784019975031,0.5923845193508115,0.7758834504320093,0.8393291579760204,7536.646776199341,7536.646776199341,0.0,0.0,0.2989397967064836,0.3306250668027359,0.3440503504230315,0.3833681484501086,0.8937925619304337,0.8486311484624348,0.5926900259739525,0.5892642911193555,0.1025800358392677,0.103610439914244,0.8972903778044847,0.8997903855357794,1,parametric,kernel_methods,True,False,True,0.01391785024937875,0.6062984364868805,1.2894700966804784,6.773454012304975,-0.6123580329326753,6.161095979372299,46434.00415079096,2,-13054.517919821375
