model_name,accuracy_test,accuracy_train,weighted_f1_test,weighted_f1_train,weighted_precision_test,weighted_precision_train,weighted_recall_test,weighted_recall_train,roc_auc_ovr_test,roc_auc_ovr_train,training_time_test,training_time_train,memory_usage_test,memory_usage_train,cohens_kappa_test,cohens_kappa_train,matthews_corrcoef_test,matthews_corrcoef_train,log_loss_test,log_loss_train,confidence_mean_test,confidence_mean_train,confidence_std_test,confidence_std_train,prediction_entropy_test,prediction_entropy_train,ensemble_size,ensemble_type,family,is_ensemble,is_boosting,is_parametric,overfit_gap_f1,underfit_score_f1,brier_approx,z_time,z_mem,complexity_score,co2_proxy,cluster,tradeoff_score
mixture_of_experts_parametric,0.7238451935081148,1.0,0.7274073624343216,1.0,0.7316059388315237,1.0,0.7238451935081148,1.0,0.7607243588987618,1.0,1652.186618089676,1652.186618089676,0.0,0.0,0.3659692017277812,1.0,0.3664045992658249,1.0,0.9353106630389928,0.6333276628628347,0.5131828096478316,0.5559537437830046,0.1476459347488569,0.1835678368156492,0.9760243716205894,0.9138761243155016,1,parametric,other,True,False,True,0.2725926375656784,0.7274073624343216,1.3493680552569232,1.295733388209513,-0.6123580329326753,0.6833753552768377,1129.0636171206693,4,-1051.1786251065375
mixture_of_experts,0.7598002496878902,1.0,0.7477415566133353,1.0,0.7415098231830805,1.0,0.7598002496878902,1.0,0.7634031367201142,1.0,169.1334409713745,169.1334409713745,0.0,0.0,0.3804572460649938,1.0,0.3848194175021694,1.0,1.1799790351257815,0.0015212851377536,0.9443927025455072,0.9984818408229632,0.1091209301315329,0.0019803188098972,0.1462905591756707,0.8086702995003565,1,none,advanced_ensemble,False,False,False,0.2522584433866647,0.7477415566133353,1.702349902328909,-0.08480972987677018,-0.6123580329326753,-0.6971677628094455,-117.91438265827658,0,-60.236102397418605
mixture_of_experts_solo,0.7598002496878902,1.0,0.7477415566133353,1.0,0.7415098231830805,1.0,0.7598002496878902,1.0,0.7634031367201142,1.0,83.97458028793335,83.97458028793335,0.0,0.0,0.3804572460649938,1.0,0.3848194175021694,1.0,1.1799790351257815,0.0015212851377536,0.9443927025455072,0.9984818408229632,0.1091209301315329,0.0019803188098972,0.1462905591756707,0.8086702995003565,1,none,advanced_ensemble,False,False,False,0.2522584433866647,0.7477415566133353,1.702349902328909,-0.1640823283745752,-0.6123580329326753,-0.7764403613072506,-65.20125345938769,0,-28.1992978954758
mixture_of_experts_cv,0.765043695380774,1.0,0.7490551717047768,1.0,0.7429622751880622,1.0,0.765043695380774,1.0,0.7613924010658827,1.0,217.73411059379575,217.73411059379575,0.0,0.0,0.377626077741562,1.0,0.3853195453645409,1.0,0.9127312802015916,0.1074137110869251,0.8900101011099011,0.9089075686798304,0.1508523091521995,0.1317944905937912,0.2537404894719635,0.2098575508303379,1,none,other,False,False,False,0.25094482829522324,0.7490551717047768,1.3167928916110712,-0.039568385185414855,-0.6123580329326753,-0.6519264181180902,-141.94661882154136,0,-79.72867636088482
mixture_of_experts_xgboost_naivebayes,0.7712858926342072,0.9978776529338328,0.7670560141076146,0.9978823028446192,0.7641011229383198,0.9979022376371676,0.7712858926342072,0.9978776529338328,0.8022353918956978,0.9999189852368968,302.8737783432007,302.8737783432007,5.5,5.5,0.4382020407131929,0.9949940971004732,0.4391656101034811,0.9950082093631898,0.7175482452684654,0.3617626679588531,0.6503749456270154,0.708698989946375,0.142295475729663,0.1375517424381081,0.6842573035783144,0.5979454879420282,2,none,mixed,True,False,False,0.23082628873700461,0.7670560141076146,1.0352032950473926,0.039686347012375854,2.324228816447068,2.6139151634594437,791.6863618255468,3,-310.6571055226021
mixture_of_experts_xgboost_linear_model,0.7880149812734082,0.9988139825218476,0.776102560388407,0.998814465331596,0.7714336732562891,0.9988164339872958,0.7880149812734082,0.9988139825218476,0.8265511029125974,0.9999938618983008,117.03058624267578,117.03058624267578,0.0,0.0,0.4508959521189932,0.9971953068761644,0.4566324304822066,0.997195910961865,0.5265966764373301,0.2363488816101596,0.7512628499408548,0.7954538411410422,0.1227938947971146,0.0936594412474017,0.6197203333956413,0.5645939401314947,1,none,tree_boosting,False,True,False,0.22271190494318904,0.776102560388407,0.7597184136447462,-0.13331118527847124,-0.6123580329326753,-0.7456692182111466,-87.26610575036823,0,-40.285969410875836
mixture_of_experts_lightgbm_advancedsvm,0.7960049937578028,0.9999375780274656,0.7798204479967334,0.9999375699373004,0.7777089248741424,0.9999375833268944,0.7960049937578028,0.9999375780274656,0.8585319205050284,0.9999998822782225,611.9737522602081,611.9737522602081,0.5999999999999943,0.5999999999999943,0.4540839284114405,0.999852327060054,0.4652680165642193,0.9998523406281346,0.4756512276663103,0.1876806526593538,0.7875053322268947,0.8345087244295192,0.1357690620103179,0.0935573808767253,0.5338734503279665,0.4742680373668309,2,none,mixed,True,False,False,0.22011712194056698,0.7798204479967334,0.6862196673469332,0.3274210340590932,-0.2920031039094337,0.2854179301496595,174.6682816760291,3,-340.32071201731316
mixture_of_experts_lightgbm_linear_model,0.7835205992509363,0.9934456928838952,0.777720248620128,0.993476492146734,0.7737596993483644,0.9936249155653296,0.7835205992509363,0.9934456928838952,0.8428867116934609,0.9999977405799516,183.6323218345642,183.6323218345642,1.1000000000000083,1.1000000000000083,0.4649350541284938,0.984635386795026,0.4662734312433349,0.984757311601568,0.5382508460480783,0.2535738236419811,0.7279945355838011,0.78395421017693,0.1290246611864528,0.1021973224877899,0.6535990531490936,0.5822122507332097,1,none,tree_boosting,False,True,False,0.21575624352660594,0.777720248620128,0.7765318263478515,-0.0713130255748227,-0.02504066305672229,-0.096353688631545,-17.693651560735262,0,-87.82971035651492
mixture_of_experts_lightgbm_naivebayes,0.7570536828963795,0.977840199750312,0.7631000792746276,0.9781316362840532,0.7708310162350587,0.979608060454939,0.7570536828963795,0.977840199750312,0.8075498701657987,0.9998771723645532,103.18108344078064,103.18108344078064,1.5999999999999943,1.5999999999999943,0.4493746222002549,0.9491847380979024,0.4505403659784202,0.950408602830116,0.7287576206263022,0.3871222439333195,0.6331848818623754,0.6988011806764917,0.1488347352266915,0.159718487844605,0.7147583437363069,0.6042683425743813,2,none,mixed,True,False,False,0.21503155700942556,0.7631000792746276,1.0513750052876067,-0.1462033971539918,0.24192177779597418,0.34571838064198235,35.671597080031944,0,-58.44176105712208
mixture_of_experts_xgboost_advancedsvm,0.8027465667915106,0.99250936329588,0.7806004157912524,0.992467416591947,0.7862198290594492,0.9925849118254224,0.8027465667915106,0.99250936329588,0.8502547866747605,0.9999987376209976,1057.605283498764,1057.605283498764,0.0,0.0,0.4492289518664801,0.9820883587301472,0.4707734282990716,0.9822468687433242,0.4856673695081708,0.1770140021355631,0.8155066158118012,0.8470473450790722,0.1374917597174236,0.1113338878150801,0.4786227821049673,0.4338650076832502,2,none,mixed,True,False,False,0.21186700080069465,0.7806004157912524,0.7006699055110258,0.7422500861427501,-0.6123580329326753,0.3798920532100748,401.7758426341687,4,-608.3772098604245
