model_name,accuracy_test,accuracy_train,weighted_f1_test,weighted_f1_train,weighted_precision_test,weighted_precision_train,weighted_recall_test,weighted_recall_train,roc_auc_ovr_test,roc_auc_ovr_train,training_time_test,training_time_train,memory_usage_test,memory_usage_train,cohens_kappa_test,cohens_kappa_train,matthews_corrcoef_test,matthews_corrcoef_train,log_loss_test,log_loss_train,confidence_mean_test,confidence_mean_train,confidence_std_test,confidence_std_train,prediction_entropy_test,prediction_entropy_train,ensemble_size,ensemble_type,family,is_ensemble,is_boosting,is_parametric,overfit_gap_f1,underfit_score_f1,brier_approx,z_time,z_mem,complexity_score,co2_proxy,cluster,tradeoff_score
ngboost_randomforest_naivebayes,0.2147315855181023,0.2882646691635456,0.2300036046978689,0.2700527097302975,0.6089527490321861,0.7896183259442711,0.2147315855181023,0.2882646691635456,0.7562321179750877,0.8583921438770652,198.1659712791443,198.1659712791443,0.4000000000000057,0.4000000000000057,0.0084396257147858,0.1207675515644013,0.0133629723205448,0.2003220750313863,0.93023984940495,0.8621757940479402,0.5053198120354724,0.5077702209089472,0.0926030903620279,0.091583442553044,0.962957398041556,0.9598691532778044,3,none,mixed,True,False,False,0.04004910503242859,0.2300036046978689,1.3420524175738175,-0.057783955929201325,-0.3987880802505092,0.04342796382028946,8.605944631123199,0,-100.69417096109892
gradientboost_naivebayes_weighted,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7863320858185304,0.9567320562279596,1639.60875582695,1639.60875582695,1.7000000000000028,1.7000000000000028,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.87502477872422,0.690778418136049,0.5974413088247635,0.6114494642071048,0.1501047240367597,0.1588293502019499,0.7149221676482718,0.6941781439227103,2,weighted,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.2623939089203948,1.2840249198585778,0.2953142659665195,1.8293391858250974,2999.4005464561737,4,-1419.9986454932555
deepgbm_randomforest_naivebayes,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7095776622470054,0.8602360391944203,428.5585408210754,428.5585408210754,7.5,7.5,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,1.0967054075125289,0.9911013742925672,0.5313160159453995,0.537420953024603,0.0579625871591408,0.0647096719420475,0.9911546275006248,0.9843385096261372,3,none,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.582211452734435,0.15668365807595486,3.3920785798578836,4.048762237933838,1735.1316368203973,3,-563.3597560631626
xgboost_naivebayes_voting,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7869929122165326,0.9705341601297514,42.16665291786194,42.16665291786194,4.6000000000000085,4.6000000000000085,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.863446138106869,0.6342216184837529,0.5937542787334438,0.6170424456236236,0.1516143466326275,0.1719152536180006,0.7056452012414629,0.6599234607471252,2,voting,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.2456894615215068,-0.203000451677715,1.8436964229122053,1.8906959712344902,79.72432079224463,0,-38.212348905925424
lightgbm_naivebayes_weighted,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.787350100917166,0.9705854963755716,1.8278005123138428,1.8278005123138428,1.3999999999999986,1.3999999999999986,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.9365947520336264,0.7075847109452728,0.6148642319642418,0.6464922813064824,0.1532357582962012,0.1821153385001536,0.714988062534279,0.6487158877259979,2,weighted,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.3512206040815413,-0.24055104388789267,0.13513680145489487,0.1445857575670022,0.2642739217542517,0,-1.1909133290532963
randomforest_naivebayes_weighted,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7137908537662513,0.830210573934252,4.570401191711426,4.570401191711426,1.2000000000000028,1.2000000000000028,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,1.429470745546192,1.3343176069838645,0.6629390649321638,0.6674022790352446,0.0380654634421609,0.0407061713044764,0.8648771344774251,0.8584763885934541,2,weighted,mixed,True,False,False,0.0342360064031797,0.1958417114544749,2.0622903556953402,-0.23799801439979423,0.028351825113815576,0.04035381071402133,0.1844331045774604,0,-2.4862455053167305
lightgbm_naivebayes,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.787350100917166,0.9705854963755716,4.288888692855835,4.288888692855835,1.6000000000000014,1.6000000000000014,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.9365947520336264,0.7075847109452728,0.6148642319642418,0.6464922813064824,0.1532357582962012,0.1821153385001536,0.714988062534279,0.6487158877259979,2,none,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.3512206040815413,-0.23826006848453413,0.24192177779597795,0.25366170931144383,1.087926836876335,0,-2.64618800234871
adaboost_naivebayes_weighted,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7453212911147903,0.8330417843486833,42.52688503265381,42.52688503265381,2.299999999999997,2.299999999999997,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,1.450718117270051,1.3533025899322113,0.6607956758923283,0.6612171528397225,0.012112071149137,0.0119883665732054,0.8742475362023179,0.8736248716186638,2,weighted,mixed,True,False,False,0.0342360064031797,0.1958417114544749,2.092943833513276,-0.20266511915244714,0.6156691949897611,0.663004075837314,28.19549810931434,0,-27.396700426735297
xgboost_naivebayes_weighted,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7869929122165326,0.9705341601297514,41.98565006256104,41.98565006256104,1.0,1.0,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.863446138106869,0.6342216184837529,0.5937542787334438,0.6170424456236236,0.1516143466326275,0.1719152536180006,0.7056452012414629,0.6599234607471252,2,weighted,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.2456894615215068,-0.20316894344193154,-0.07843315122726752,-0.031602094669199055,-1.3268344880249172,0,-20.831616422221064
adaboost_naivebayes_voting,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7453212911147903,0.8330417843486833,42.34836721420288,42.34836721420288,0.1000000000000014,0.1000000000000014,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,1.450718117270051,1.3533025899322113,0.6607956758923283,0.6612171528397225,0.012112071149137,0.0119883665732054,0.8742475362023179,0.8736248716186638,2,voting,mixed,True,False,False,0.0342360064031797,0.1958417114544749,2.092943833513276,-0.2028312976479459,-0.5589655447621338,-0.5117968424100797,-21.673760621451578,0,-16.673589771356653
xgboost_naivebayes,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7869929122165326,0.9705341601297514,89.94048285484314,89.94048285484314,5.099999999999994,5.099999999999994,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.863446138106869,0.6342216184837529,0.5937542787334438,0.6170424456236236,0.1516143466326275,0.1719152536180006,0.7056452012414629,0.6599234607471252,2,none,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.2456894615215068,-0.15852879471914405,2.1106588637649017,2.202130069045758,198.06064171914454,0,-85.91652805979601
catboost_naivebayes,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.779261319307782,0.8963834342930578,26.961425065994263,26.961425065994263,0.0999999999999943,0.0999999999999943,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.8944034276677006,0.7676425741098492,0.5964827402198336,0.6046427289970642,0.140249473808655,0.1440892104903584,0.7402601176654403,0.7268528690923888,2,none,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.2903513896502825,-0.21715467958653348,-0.5589655447621377,-0.5261202243486711,-14.184951004480787,0,-10.477880620646495
randomforest_naivebayes,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7137908537662513,0.830210573934252,4.390342473983765,4.390342473983765,4.699999999999989,4.699999999999989,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,1.429470745546192,1.3343176069838645,0.6629390649321638,0.6674022790352446,0.0380654634421609,0.0407061713044764,0.8648771344774251,0.8584763885934541,2,none,mixed,True,False,False,0.0342360064031797,0.1958417114544749,2.0622903556953402,-0.23816562728613277,1.8970889110827356,1.9089232837966028,8.380826972428789,0,-5.085494920023162
lightgbm_naivebayes_voting,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.787350100917166,0.9705854963755716,1.8351249694824217,1.8351249694824217,1.6000000000000014,1.6000000000000014,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.9365947520336264,0.7075847109452728,0.6148642319642418,0.6464922813064824,0.1532357582962012,0.1821153385001536,0.714988062534279,0.6487158877259979,2,voting,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.3512206040815413,-0.24054422570423356,0.24192177779597795,0.2513775520917444,0.46130922261092827,0,-1.293982617808922
randomforest_naivebayes_voting,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7137908537662513,0.830210573934252,4.6766111850738525,4.6766111850738525,1.4000000000000057,1.4000000000000057,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,1.429470745546192,1.3343176069838645,0.6629390649321638,0.6674022790352446,0.0380654634421609,0.0407061713044764,0.8648771344774251,0.8584763885934541,2,voting,mixed,True,False,False,0.0342360064031797,0.1958417114544749,2.0622903556953402,-0.23789914574311302,0.13513680145489868,0.14723765571178565,0.6885732675657898,0,-2.700178534595611
gradientboost_naivebayes_voting,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7863320858185304,0.9567320562279596,472.3356387615204,472.3356387615204,0.8999999999999986,0.8999999999999986,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.87502477872422,0.690778418136049,0.5974413088247635,0.6114494642071048,0.1501047240367597,0.1588293502019499,0.7149221676482718,0.6941781439227103,2,voting,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.2623939089203948,0.1974348409896405,-0.13182563939780906,0.3156092015918315,149.07347383289118,3,-266.05667243588397
random_baseline_parametric,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,0.0572497844696044,0.0572497844696044,0.1000000000000014,0.1000000000000014,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,parametric,other,True,False,True,0.0,0.0448070314171358,1.584962500721156,-0.2421992124500595,-0.5589655447621338,-0.8011647572121933,-0.045866509675041,0,-0.004644558882658613
majority_baseline_parametric,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,0.0525188446044921,0.0525188446044921,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,parametric,other,True,False,True,0.0,0.0448070314171358,1.584962500721156,-0.2422036163828204,-0.6123580329326753,-0.8545616493154957,-0.04488059046535899,0,0.027523727207961552
uniform_baseline_parametric,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,0.0517830848693847,0.0517830848693847,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,parametric,other,True,False,True,0.0,0.0448070314171358,1.584962500721156,-0.24220430128613643,-0.6123580329326753,-0.8545623342188118,-0.044251873879032226,0,0.027765863758249895
tabflex_parametric,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,15013.775729894638,15013.775729894638,4.400000000000006,4.400000000000006,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,parametric,neural_networks,True,False,True,0.0,0.0448070314171358,1.584962500721156,13.733756636196876,1.7369114465711222,15.470668082767999,232273.1409863178,1,-53962.791255179465
