CableID,AssetAgeYears,RatedLifespanYears,YearsRemainingWarranty,MaterialType,InstallationType,InsulationResistanceTrend,NumberOfRepairs,LastRepairAgeYears,NumberOfFailuresPast3Years,FailureRatePerYear,AvgRepairDurationHours,FailureRootCauseMajorCategory,AvgVoltageDeviationPercent,PeakLoadKW,OverloadEventCountPast3Years,SwitchingEventsPerYear,FCITriggerRatePerYear,LastFCITriggerRecencyDays,PartialDischargeSeverityScore,PDThresholdBreachesPast1Year,SensitiveCustomerCount,ConnectedLoadKW,InspectionDefectSeverityScore,TimeSinceLastInspectionDays,AvgGroundTemperatureCelsius,SoilCorrosivityIndex,FloodZoneRisk,CriticalityScore,EstimatedDowntimeCostPerFailure,TemperatureAnomaliesPast1Year,VibrationAnomaliesPast1Year,CableHealthScore
CAB00001,7,30,14,0,0,-0.083,0,7,2,0.0,10,1,4.21,472,2,7,0.86,135,0.14,0,2,2899,0.0,314,31,0.01,0,0.51,32551,0,0,0
CAB00002,4,30,13,1,1,-0.041,2,4,0,0.06,16,0,6.83,134,1,20,0.75,53,0.06,0,6,2016,0.36,106,13,0.18,1,0.96,25276,3,1,0
CAB00003,29,30,0,0,2,-0.059,10,0,0,0.3,14,0,1.44,506,2,8,0.91,231,0.53,4,6,8408,0.44,359,36,0.52,0,0.31,46151,0,0,1
CAB00004,4,30,6,0,2,-0.003,4,1,1,0.28,23,1,1.85,572,1,13,0.4,318,0.04,0,2,1663,0.0,233,12,0.01,0,0.94,29021,0,0,0
CAB00005,7,25,16,0,0,-0.049,0,7,1,0.23,19,0,3.42,484,1,20,0.84,124,0.29,0,5,8125,0.14,324,32,0.76,0,0.54,16087,1,0,0
CAB00006,3,25,3,0,1,-0.006,1,0,0,0.0,7,1,3.78,650,2,5,0.64,75,0.11,1,2,3255,0.18,60,26,0.24,0,0.9,7295,2,0,0
CAB00007,8,25,2,1,1,-0.05,3,3,0,0.06,7,2,2.66,376,0,5,0.2,317,0.48,2,4,5893,0.07,22,23,0.59,1,0.65,40790,0,1,0
CAB00008,17,20,3,1,1,-0.062,11,7,1,0.42,5,2,2.46,762,1,18,0.8,143,0.39,2,3,5780,0.85,170,32,0.42,0,0.19,13039,1,0,1
CAB00009,22,25,1,0,1,-0.048,4,0,0,0.68,8,1,6.8,671,3,12,0.93,272,1.0,6,1,8805,0.95,92,35,0.08,0,0.09,21056,4,0,2
CAB00010,29,25,0,1,1,-0.018,4,3,2,0.93,15,2,2.23,317,2,5,0.46,179,0.89,3,3,2687,0.63,250,28,0.5,1,0.68,12938,2,1,2
CAB00011,1,30,9,0,0,-0.025,0,1,0,0.02,12,1,6.91,701,6,21,0.68,279,0.36,1,7,7806,0.0,192,12,0.99,0,0.93,45811,0,0,0
CAB00012,17,25,3,1,0,-0.078,3,6,1,0.58,12,1,7.7,483,3,10,0.08,141,0.74,3,8,8241,0.89,181,19,0.97,1,0.84,8056,0,2,1
CAB00013,27,30,0,0,0,-0.003,12,2,0,0.73,18,0,6.44,281,2,10,0.8,173,0.28,1,8,1823,0.88,148,37,0.77,1,0.53,47196,2,1,2
CAB00014,16,25,4,1,2,-0.022,6,9,1,0.33,21,2,7.65,457,4,17,0.16,289,0.71,3,8,1009,0.14,145,18,0.31,1,0.93,24793,1,3,1
CAB00015,17,25,8,1,2,-0.019,9,4,1,0.5,10,1,6.3,182,1,19,0.78,66,0.19,1,8,7544,0.79,348,17,0.02,0,0.13,20758,2,2,2
CAB00016,28,30,1,1,1,-0.031,15,2,0,0.42,12,1,4.76,762,2,6,0.13,218,0.33,2,5,7376,1.0,93,27,0.6,0,0.36,28693,2,0,2
CAB00017,25,25,0,1,2,-0.068,3,2,1,0.35,10,1,2.29,402,1,9,0.18,39,0.12,0,2,4086,0.75,154,23,0.15,0,0.1,39518,3,1,1
CAB00018,26,25,0,0,0,-0.049,14,8,0,0.55,7,0,2.66,761,2,18,0.29,293,0.61,0,3,5208,1.0,118,26,0.49,1,0.53,3048,5,2,2
CAB00019,11,25,5,1,1,-0.068,4,8,4,0.72,13,0,5.17,649,5,18,0.52,132,0.37,0,2,5820,0.5,35,10,0.74,0,0.19,20282,1,1,1
CAB00020,18,30,6,1,1,-0.028,7,6,2,0.51,5,2,1.82,745,2,9,0.49,324,0.65,5,7,8863,0.61,196,31,0.71,0,0.5,21103,1,1,1
CAB00021,19,25,3,1,2,-0.062,8,0,2,0.72,12,1,1.13,782,4,23,0.59,149,0.35,2,8,4072,0.5,296,18,0.93,0,0.87,38430,0,2,2
CAB00022,20,30,9,0,2,-0.044,8,6,0,0.67,21,0,2.16,600,2,17,0.38,144,0.14,1,2,3079,0.82,118,31,0.09,1,0.47,28952,2,1,1
CAB00023,14,30,1,1,0,-0.097,7,6,0,0.63,22,0,7.85,277,3,11,0.74,85,0.49,2,6,1943,0.33,51,10,0.56,1,0.09,5425,6,0,1
CAB00024,28,30,0,0,0,-0.04,12,6,0,0.41,10,1,6.6,214,3,10,0.73,98,0.74,2,6,9041,0.64,98,32,0.68,1,0.14,41760,3,1,2
CAB00025,13,30,13,1,1,-0.075,4,3,0,0.46,6,1,6.03,326,3,15,0.6,25,0.05,0,8,3343,0.4,227,29,0.05,0,0.73,35008,1,1,1
CAB00026,5,20,2,1,1,-0.027,0,5,1,0.0,22,1,7.42,116,2,11,0.03,117,0.56,5,6,9592,0.07,89,21,0.22,1,0.18,20541,1,0,0
CAB00027,27,30,1,0,1,-0.02,10,7,1,0.63,10,1,2.61,287,2,17,0.53,96,0.04,0,2,4241,0.6,4,38,0.66,1,0.99,38114,2,0,1
CAB00028,20,20,0,0,0,-0.095,7,7,0,0.5,12,0,3.01,423,2,23,0.51,330,0.33,0,7,8827,0.45,187,35,0.8,0,0.84,39197,6,0,1
CAB00029,26,30,4,0,1,-0.027,9,8,0,0.55,22,0,3.74,734,6,6,0.54,237,0.45,1,2,3745,0.62,176,35,0.53,1,0.57,12303,0,2,2
CAB00030,27,30,0,0,2,-0.006,19,6,1,0.7,7,1,1.04,771,0,19,0.93,278,0.26,2,6,6352,1.0,295,11,0.29,0,0.96,2435,3,2,2
CAB00031,4,25,16,1,1,-0.013,0,4,2,0.13,15,0,1.52,309,4,24,0.65,27,0.42,2,3,2823,0.07,285,13,0.43,0,0.08,14261,0,1,0
CAB00032,21,30,4,0,1,-0.085,10,8,2,0.45,21,1,7.08,408,3,12,0.31,205,0.42,2,5,6109,0.93,15,34,0.0,0,0.33,36201,1,1,2
CAB00033,18,25,6,1,2,-0.052,5,5,2,0.62,14,1,5.33,759,6,24,0.34,251,0.35,2,8,9907,0.78,122,27,0.82,0,0.87,27289,2,2,2
CAB00034,26,30,2,0,0,-0.04,11,5,0,0.58,7,1,6.03,761,4,6,0.49,66,0.49,2,0,5703,0.59,213,35,0.74,0,0.59,26849,1,1,2
