iter	MultiClass
0	1.049288354
1	1.009022076
2	0.9705040338
3	0.9378053954
4	0.9075856025
5	0.8795925108
6	0.8576470579
7	0.8349143858
8	0.8145238209
9	0.796279307
10	0.7788050756
11	0.7628668575
12	0.7484842223
13	0.7336410003
14	0.7207772218
15	0.7079618828
16	0.6964344917
17	0.6873345406
18	0.6764139839
19	0.667126651
20	0.6589325493
21	0.6510377262
22	0.6439545228
23	0.6372001341
24	0.6307888136
25	0.6241445887
26	0.6185926094
27	0.6129530469
28	0.6069803026
29	0.6020936825
30	0.5973449612
31	0.5928559561
32	0.5893310368
33	0.5860877278
34	0.582424243
35	0.5791287869
36	0.5755118745
37	0.5718950274
38	0.5691054072
39	0.5662410753
40	0.562838104
41	0.5605760803
42	0.5576052831
43	0.5555434226
44	0.5529596353
45	0.5502685353
46	0.5479754224
47	0.5463861982
48	0.5450963951
49	0.5428809525
50	0.5413585836
51	0.5392276838
52	0.5379756922
53	0.5364768822
54	0.5347576376
55	0.5329266201
56	0.5311183317
57	0.5301305541
58	0.529023885
59	0.527728471
60	0.5261070608
61	0.5246456524
62	0.523014613
63	0.521935602
64	0.5209591291
65	0.5191363069
66	0.5179478703
67	0.5172556695
68	0.5159327187
69	0.5148475299
70	0.5140245302
71	0.5130847062
72	0.5116911866
73	0.5110114456
74	0.5095732874
75	0.5084247814
76	0.5072876891
77	0.5065493242
78	0.5057834909
79	0.5050360616
80	0.5040107173
81	0.5030421248
82	0.5020863665
83	0.5012749683
84	0.5009279898
85	0.5001055684
86	0.4990662291
87	0.4981309563
88	0.4974058267
89	0.4970005859
90	0.4961375393
91	0.4957027493
92	0.4946653203
93	0.4938139524
94	0.4933993693
95	0.4925062223
96	0.4919015814
97	0.4912100544
98	0.4903459968
99	0.4900668057
100	0.4893974738
101	0.4883688302
102	0.4880047665
103	0.4872078102
104	0.48640362
105	0.4859370625
106	0.485322398
107	0.4848486059
108	0.4840463412
109	0.4835799322
110	0.4825983232
111	0.4819825315
112	0.4810554731
113	0.4805201725
114	0.4801121147
115	0.4797395316
116	0.4792960776
117	0.4791299235
118	0.4788424382
119	0.4784071918
120	0.4776690757
121	0.4774384058
122	0.4769874539
123	0.4764163191
124	0.476132273
125	0.475746172
126	0.4752198902
127	0.474554563
128	0.4741428989
129	0.4739637478
130	0.4736489471
131	0.4732616766
132	0.4728922599
133	0.4721565325
134	0.4718459186
135	0.471734007
136	0.4715360141
137	0.4713904664
138	0.4712281408
139	0.4705722606
140	0.4698268443
141	0.4696898977
142	0.469163942
143	0.4688335029
144	0.4685823253
145	0.4682726811
146	0.4680872831
147	0.4679557989
148	0.4678606654
149	0.4675562878
