iter	Passed	Remaining
0	32	6548
1	62	6206
2	92	6083
3	123	6028
4	152	5955
5	183	5938
6	212	5871
7	242	5811
8	271	5753
9	299	5697
10	329	5663
11	360	5655
12	391	5624
13	421	5595
14	451	5566
15	482	5549
16	515	5548
17	545	5516
18	576	5492
19	606	5459
20	635	5414
21	665	5384
22	694	5343
23	724	5310
24	755	5286
25	786	5261
26	817	5236
27	848	5213
28	879	5183
29	906	5139
30	937	5112
31	966	5074
32	995	5040
33	1025	5008
34	1055	4975
35	1084	4941
36	1113	4904
37	1141	4866
38	1171	4837
39	1203	4812
40	1233	4781
41	1262	4749
42	1291	4715
43	1323	4692
44	1353	4662
45	1383	4632
46	1412	4596
47	1441	4565
48	1470	4531
49	1500	4501
50	1529	4468
51	1558	4435
52	1588	4406
53	1617	4372
54	1646	4341
55	1676	4311
56	1705	4279
57	1735	4247
58	1764	4215
59	1793	4183
60	1822	4153
61	1851	4120
62	1880	4089
63	1910	4060
64	1939	4029
65	1970	4000
66	2001	3972
67	2030	3941
68	2059	3909
69	2088	3878
70	2117	3847
71	2147	3817
72	2178	3789
73	2209	3761
74	2238	3730
75	2267	3699
76	2296	3668
77	2325	3637
78	2354	3605
79	2385	3578
80	2416	3550
81	2447	3521
82	2478	3493
83	2507	3462
84	2536	3431
85	2565	3400
86	2593	3369
87	2624	3339
88	2655	3311
89	2684	3281
90	2713	3250
91	2743	3220
92	2771	3188
93	2802	3160
94	2832	3130
95	2862	3101
96	2892	3071
97	2922	3041
98	2952	3012
99	2984	2984
100	3013	2953
101	3043	2924
102	3076	2896
103	3107	2868
104	3137	2838
105	3168	2810
106	3200	2781
107	3231	2753
108	3262	2723
109	3292	2694
110	3321	2662
111	3350	2632
112	3382	2604
113	3412	2574
114	3443	2544
115	3471	2513
116	3500	2482
117	3529	2452
118	3557	2421
119	3587	2391
120	3617	2361
121	3644	2330
122	3672	2299
123	3701	2268
124	3729	2237
125	3758	2207
126	3786	2176
127	3813	2145
128	3842	2114
129	3871	2084
130	3899	2053
131	3928	2023
132	3956	1993
133	3984	1962
134	4014	1932
135	4043	1903
136	4071	1872
137	4100	1842
138	4130	1812
139	4161	1783
140	4191	1753
141	4220	1723
142	4250	1694
143	4282	1665
144	4312	1635
145	4342	1606
146	4371	1576
147	4401	1546
148	4431	1516
149	4462	1487
150	4491	1457
151	4522	1428
152	4551	1398
153	4582	1368
154	4612	1339
155	4641	1309
156	4671	1279
157	4699	1249
158	4726	1218
159	4754	1188
160	4783	1158
161	4812	1128
162	4841	1098
163	4869	1068
164	4898	1039
165	4927	1009
166	4957	979
167	4986	949
168	5015	920
169	5044	890
170	5073	860
171	5103	830
172	5134	801
173	5166	772
174	5197	742
175	5231	713
176	5264	684
177	5297	654
178	5328	625
179	5359	595
180	5389	565
181	5421	536
182	5453	506
183	5485	476
184	5515	447
185	5546	417
186	5574	387
187	5605	357
188	5634	327
189	5663	298
190	5693	268
191	5722	238
192	5752	208
193	5781	178
194	5811	149
195	5843	119
196	5874	89
197	5906	59
198	5936	29
199	5966	0
