CableID,AssetAgeYears,RatedLifespanYears,YearsRemainingWarranty,MaterialType,InstallationType,InsulationResistanceTrend,NumberOfRepairs,LastRepairAgeYears,NumberOfFailuresPast3Years,FailureRatePerYear,AvgRepairDurationHours,FailureRootCauseMajorCategory,AvgVoltageDeviationPercent,PeakLoadKW,OverloadEventCountPast3Years,SwitchingEventsPerYear,FCITriggerRatePerYear,LastFCITriggerRecencyDays,PartialDischargeSeverityScore,PDThresholdBreachesPast1Year,SensitiveCustomerCount,ConnectedLoadKW,InspectionDefectSeverityScore,TimeSinceLastInspectionDays,AvgGroundTemperatureCelsius,SoilCorrosivityIndex,FloodZoneRisk,CriticalityScore,EstimatedDowntimeCostPerFailure,TemperatureAnomaliesPast1Year,VibrationAnomaliesPast1Year,CableHealthScore
CAB00001,12,25,0,0,1,-0.08388157958016963,12,3,20,1.0,12,1,6.366,726,11,15,0.361,258,0.531,2,3,7414,0.349,208,10,0.586,1,0.748,28247,2,0,2
CAB00002,27,30,3,0,1,-0.05010577073412954,6,4,13,0.073,4,0,8.0,702,3,7,0.765,49,0.568,5,1,2549,0.405,116,14,0.289,1,0.112,37040,2,0,1
CAB00003,18,30,12,1,1,-0.08016324397006858,6,3,4,0.301,2,1,7.508,525,5,17,0.07,31,0.068,0,2,10000,1.0,36,33,1.0,0,0.951,50000,2,0,2
CAB00004,12,30,7,1,0,-0.06375840331465255,3,2,14,0.0,3,1,8.0,800,8,21,0.116,41,0.341,5,6,7120,0.0,122,31,0.782,0,0.41,31049,2,0,0
CAB00005,6,30,15,0,1,-0.059608000982858504,3,6,10,0.745,9,1,6.163,800,2,12,0.957,16,0.824,3,0,4220,1.0,1,16,0.898,1,0.477,50000,3,0,2
CAB00006,20,25,5,1,1,-0.07750412131238392,10,10,14,0.0,7,2,8.0,800,11,20,0.0,362,0.0,3,1,2765,1.0,1,33,0.659,0,0.885,27515,1,1,1
CAB00007,9,25,9,0,0,-0.05355011823382084,5,4,17,0.0,5,2,8.0,469,2,19,0.176,72,0.218,6,4,2426,1.0,265,20,0.561,0,0.501,46863,2,1,0
CAB00008,13,30,7,1,2,-0.0832580443045099,8,2,14,0.447,13,1,5.395,800,7,12,0.329,214,0.697,5,4,3871,0.0,174,26,0.735,1,0.657,46352,0,0,2
CAB00009,1,25,11,1,2,-0.025792715452524213,3,2,3,0.039,0,1,8.0,800,6,13,0.549,58,0.05,4,0,5370,0.945,50,30,1.0,0,0.559,50000,4,1,2
CAB00010,17,25,3,0,1,-0.07303656668688877,12,-1,11,0.0,4,2,8.0,589,7,13,0.0,365,0.387,3,9,6891,0.826,92,38,0.894,1,0.651,40665,3,0,0
