CableID,AssetAgeYears,RatedLifespanYears,YearsRemainingWarranty,MaterialType,InstallationType,InsulationResistanceTrend,NumberOfRepairs,LastRepairAgeYears,NumberOfFailuresPast3Years,FailureRatePerYear,AvgRepairDurationHours,FailureRootCauseMajorCategory,AvgVoltageDeviationPercent,PeakLoadKW,OverloadEventCountPast3Years,SwitchingEventsPerYear,FCITriggerRatePerYear,LastFCITriggerRecencyDays,PartialDischargeSeverityScore,PDThresholdBreachesPast1Year,SensitiveCustomerCount,ConnectedLoadKW,InspectionDefectSeverityScore,TimeSinceLastInspectionDays,AvgGroundTemperatureCelsius,SoilCorrosivityIndex,FloodZoneRisk,CriticalityScore,EstimatedDowntimeCostPerFailure,TemperatureAnomaliesPast1Year,VibrationAnomaliesPast1Year,CableHealthScore
CAB00001,3,20,4,1,0,-0.078,1,8,13,0.88,15,0,6.78,598,9,18,0.26,4,0.16,2,5,9605,0.69,23,25,0.19,0,0.61,18082,2,1,0
CAB00002,5,30,11,0,1,-0.029,7,1,4,0.98,6,2,4.08,782,1,23,0.38,219,0.88,2,9,1591,0.03,190,16,0.13,0,0.37,26035,2,0,0
CAB00003,12,30,5,0,0,-0.053,1,7,2,0.72,20,0,6.14,331,1,16,0.53,104,0.12,2,7,1644,0.71,321,27,0.34,1,0.1,18045,4,0,1
CAB00004,14,25,9,1,2,-0.067,9,4,12,0.79,20,1,1.23,344,3,9,0.31,41,0.6,2,8,5255,0.64,358,34,0.77,1,0.97,43357,0,1,1
CAB00005,9,30,10,0,2,-0.034,7,0,6,0.56,9,2,1.93,400,0,8,0.26,245,0.49,0,4,8342,0.36,138,39,0.63,0,0.52,38400,2,1,1
CAB00006,9,25,12,1,0,-0.055,0,7,6,0.48,19,0,7.15,202,3,8,0.63,104,0.69,3,4,6155,0.2,222,10,0.08,0,0.88,45172,3,0,1
CAB00007,7,25,6,1,2,-0.064,2,1,3,0.46,21,0,7.48,343,2,21,0.12,165,0.06,0,9,1679,0.08,181,35,0.64,1,0.4,34681,3,0,0
CAB00008,21,20,6,0,1,-0.052,6,0,7,0.69,7,1,5.77,536,6,17,0.98,344,0.86,4,5,8671,0.63,23,13,0.06,1,0.41,32053,0,1,2
CAB00009,22,25,6,0,0,-0.076,0,3,12,0.49,17,1,4.25,393,1,21,0.1,162,0.44,3,3,5250,0.08,69,35,0.24,1,0.36,2861,3,0,2
CAB00010,28,30,10,1,1,-0.037,3,7,6,0.3,19,0,3.33,624,7,17,0.33,301,0.31,2,2,8334,0.6,297,24,0.93,1,0.54,14790,1,1,2
CAB00011,24,20,14,1,0,-0.086,2,3,10,0.68,17,1,4.08,221,8,14,0.24,155,0.08,3,3,7892,0.75,232,17,0.06,1,0.78,42319,4,1,0
CAB00012,1,25,8,1,0,-0.06,8,7,14,0.5,5,2,7.87,119,5,21,0.54,153,0.62,3,6,2178,0.73,257,39,0.94,0,0.45,8480,3,1,2
CAB00013,25,25,8,0,1,-0.003,5,9,4,0.31,9,0,1.11,314,2,12,0.42,31,0.03,1,5,5162,0.36,75,20,0.16,1,0.88,28727,2,0,0
CAB00014,11,30,11,1,2,-0.036,3,5,0,0.84,10,0,5.34,723,1,18,0.43,140,0.2,2,6,1125,0.31,230,37,0.4,0,0.38,22578,4,0,1
CAB00015,26,20,14,1,2,-0.074,0,8,5,0.16,6,0,5.83,729,6,15,0.5,322,0.03,4,3,2892,0.64,182,20,0.44,1,0.7,33588,0,0,1
CAB00016,29,20,1,1,1,-0.05,2,1,11,0.41,17,0,3.03,511,8,20,0.68,308,0.23,4,2,9357,0.2,44,19,0.89,1,0.36,46208,1,1,0
CAB00017,15,30,3,1,1,-0.03,9,4,3,0.14,7,0,5.9,627,1,8,0.51,173,0.68,3,4,7963,0.94,11,20,1.0,1,0.81,47513,0,0,0
CAB00018,20,25,10,0,2,-0.077,2,6,0,0.12,12,1,3.46,276,0,22,0.28,30,0.72,0,7,7114,0.74,288,13,0.76,1,0.75,14042,2,0,2
CAB00019,1,25,0,1,0,-0.033,6,8,0,0.66,18,2,5.63,425,8,16,0.92,68,0.32,3,7,4867,0.31,64,38,0.08,0,0.89,32558,0,1,0
CAB00020,26,30,2,1,0,-0.011,2,6,12,0.08,16,2,6.83,659,0,12,0.67,309,0.08,1,2,7570,0.27,21,34,0.02,1,0.94,23220,4,0,2
CAB00021,7,25,11,1,1,-0.064,7,0,5,0.52,20,2,4.69,183,1,16,0.22,209,0.09,4,9,4990,0.17,111,11,0.59,1,0.97,12695,2,0,0
CAB00022,20,20,3,1,0,-0.098,3,3,14,0.86,8,0,5.79,271,6,23,0.85,59,0.42,0,1,1272,0.56,137,34,0.18,0,0.98,13775,2,0,1
CAB00023,23,30,6,1,2,-0.058,3,6,6,0.01,19,1,6.95,327,6,15,0.57,248,0.01,2,6,1456,0.75,333,25,0.79,1,0.14,47416,4,0,0
CAB00024,9,25,0,1,0,-0.035,9,7,6,0.31,9,0,1.11,407,4,24,0.83,118,0.75,1,9,4810,0.19,187,35,0.69,1,0.85,23052,0,1,2
CAB00025,16,20,5,0,2,-0.087,4,6,14,0.62,21,2,1.97,443,0,16,0.46,234,0.89,4,3,8821,0.87,251,38,0.22,0,0.91,11304,3,1,1
CAB00026,8,20,10,0,0,-0.096,6,9,9,0.48,5,1,6.18,343,2,16,0.8,30,0.61,2,0,4556,0.48,75,34,0.62,1,0.72,6570,3,1,2
CAB00027,17,20,2,0,1,-0.083,8,4,4,0.0,21,1,1.23,654,6,18,0.6,51,0.59,0,5,6970,0.45,197,34,0.68,0,0.01,23269,0,0,2
CAB00028,5,25,1,0,0,-0.028,4,6,12,0.62,13,1,3.29,125,2,22,0.22,337,0.25,4,0,9734,0.6,360,36,0.82,1,0.08,43849,4,0,1
CAB00029,21,30,3,1,1,-0.09,3,5,13,0.82,20,0,7.79,190,7,9,0.31,104,0.26,1,6,7159,0.48,172,31,0.6,1,0.94,14871,0,0,0
CAB00030,18,30,8,0,0,-0.035,1,8,7,0.82,5,2,6.04,782,3,11,0.29,14,0.01,1,6,8900,0.96,257,31,0.41,0,0.74,22433,3,0,0
CAB00031,20,20,8,1,0,-0.005,0,2,0,0.37,20,2,4.11,147,7,15,0.58,298,0.98,3,7,5841,0.58,296,29,0.21,0,0.46,34533,3,1,1
CAB00032,18,25,12,0,2,-0.089,2,3,6,0.29,17,0,4.89,299,4,9,0.46,91,0.01,4,3,7638,0.58,148,33,0.79,1,0.64,16368,3,1,0
CAB00033,29,25,0,0,0,-0.032,6,1,12,0.28,18,0,6.14,318,1,8,0.66,353,0.8,0,9,8662,0.45,226,12,0.4,0,0.83,8928,0,0,2
CAB00034,14,30,3,0,0,-0.026,7,1,6,0.63,15,1,7.67,555,7,21,0.66,24,0.14,3,0,9144,0.12,173,35,0.54,1,0.95,33910,0,1,2
CAB00035,16,20,6,0,2,-0.021,7,5,12,0.08,4,1,4.29,767,7,20,0.3,119,0.87,1,8,2427,0.33,268,10,0.03,0,0.4,21154,3,0,0
CAB00036,24,25,7,1,2,-0.023,4,3,4,0.92,18,1,6.66,223,4,23,0.57,353,0.9,1,9,8011,0.29,57,32,0.78,1,0.62,17059,1,0,0
CAB00037,8,30,9,0,1,-0.065,3,1,11,0.64,8,2,6.8,205,7,8,0.4,341,0.72,0,6,4233,0.45,243,18,0.92,1,0.59,6236,4,1,0
CAB00038,17,25,6,0,2,-0.031,1,6,10,0.52,22,0,1.25,720,0,5,0.05,207,0.42,0,6,2770,0.92,359,25,0.77,1,0.03,29359,0,1,1
CAB00039,16,25,14,0,1,-0.055,3,3,9,0.09,6,1,2.99,598,7,20,0.71,263,0.54,1,3,4678,0.43,51,13,0.65,0,0.12,43131,4,1,1
CAB00040,2,25,9,0,2,-0.045,3,4,2,0.65,16,2,2.04,341,4,13,0.69,355,0.29,2,8,4596,0.58,309,10,0.78,1,0.28,2497,2,0,2
CAB00041,12,20,3,1,2,-0.088,3,7,12,0.36,9,2,6.51,282,8,21,0.51,58,0.34,3,7,8559,0.47,232,31,0.88,0,0.68,9725,4,0,2
CAB00042,19,30,13,0,0,-0.066,6,6,2,0.48,10,2,7.43,156,0,12,0.46,198,0.42,0,6,6236,0.77,224,39,0.21,0,0.84,28497,1,0,2
CAB00043,7,25,10,0,0,-0.085,1,5,12,0.79,13,2,2.36,738,7,17,0.66,276,0.43,4,2,9646,0.24,41,25,0.22,0,0.58,24643,1,1,0
CAB00044,28,30,3,1,1,-0.017,3,6,2,0.46,23,1,5.62,160,1,5,0.63,349,0.22,4,1,6419,0.63,49,28,0.96,1,0.86,33731,3,0,1
CAB00045,6,20,13,0,1,-0.061,0,9,9,0.28,4,2,1.25,565,0,20,0.52,9,1.0,1,8,4018,0.59,248,30,0.8,1,0.29,41130,3,0,1
CAB00046,23,25,2,1,0,-0.061,4,2,12,0.08,20,1,5.96,349,4,5,0.71,283,0.73,3,9,4630,0.33,6,22,0.86,1,0.65,43468,0,0,0
CAB00047,6,25,0,0,1,-0.087,0,3,11,0.33,14,2,7.64,552,9,24,0.49,305,0.4,4,2,6611,0.74,231,22,0.63,1,0.64,1714,3,1,2
CAB00048,23,25,8,0,2,-0.001,2,1,8,0.89,10,2,6.02,213,8,9,0.92,202,0.36,2,7,4860,0.99,23,27,0.64,1,0.31,13344,3,0,1
CAB00049,23,30,14,1,1,-0.026,9,4,9,0.33,19,2,6.09,271,6,19,0.02,117,0.15,2,2,1026,0.41,298,15,0.84,1,0.5,41235,0,1,2
CAB00050,25,30,11,1,0,-0.032,9,5,10,0.87,19,0,6.7,759,6,17,0.02,93,0.23,4,3,2154,0.48,354,16,0.02,0,0.14,30606,0,0,2
CAB00051,8,25,5,0,2,-0.02,1,2,6,0.38,20,1,5.88,521,4,24,0.76,330,0.31,4,7,5122,0.21,151,28,0.42,0,0.38,11441,4,1,2
CAB00052,9,25,7,0,0,-0.027,0,7,2,0.69,16,1,3.67,496,2,13,0.34,42,0.76,2,1,7731,0.64,336,30,0.82,1,0.84,30575,3,0,1
CAB00053,17,30,4,1,0,-0.047,7,2,3,0.44,16,0,3.35,146,8,8,0.04,254,0.53,0,9,6210,0.65,333,12,0.6,0,0.99,32317,1,1,2
CAB00054,23,30,3,1,1,-0.04,2,6,10,0.41,11,2,4.39,179,9,14,0.15,285,0.76,3,0,8777,0.9,310,31,0.64,0,0.28,44581,4,0,0
CAB00055,25,25,1,1,1,-0.013,6,8,3,0.55,15,2,7.23,568,9,7,0.05,174,0.18,4,2,2787,0.35,51,32,0.31,0,0.59,43683,3,1,1
CAB00056,9,30,13,0,1,-0.098,8,1,9,0.96,10,2,6.46,779,5,15,0.54,352,0.24,1,1,6368,0.43,83,26,1.0,0,0.03,42922,1,0,2
CAB00057,3,30,12,1,0,-0.08,0,2,0,0.9,17,0,7.76,103,6,22,0.23,270,0.62,2,4,4059,0.2,94,25,0.89,0,0.77,32981,3,1,0
CAB00058,27,20,13,0,1,-0.098,2,5,8,0.06,5,1,4.51,675,8,17,0.0,103,0.59,1,7,5919,0.98,31,20,0.11,0,0.7,6152,2,0,1
CAB00059,24,30,9,1,2,-0.035,5,9,0,0.32,23,1,2.04,381,4,24,0.35,320,0.8,1,5,9779,0.28,33,18,0.13,1,0.64,35231,2,1,2
CAB00060,12,20,1,0,1,-0.011,5,0,12,0.39,17,2,5.28,351,7,24,0.86,82,0.48,0,3,2305,0.95,82,23,0.93,0,0.55,43040,2,1,1
CAB00061,23,20,9,1,2,-0.038,3,6,4,0.69,16,0,2.46,745,2,24,0.01,325,0.02,4,9,6796,0.92,233,31,0.61,0,0.62,42461,4,1,2
CAB00062,15,30,13,1,2,-0.089,5,4,8,0.35,16,0,5.28,391,1,7,0.68,121,0.83,0,9,1818,0.7,4,23,0.99,1,0.17,31815,0,0,0
CAB00063,6,20,0,1,1,-0.065,0,8,13,0.83,5,2,3.18,459,0,23,0.45,358,0.86,0,3,9018,0.61,29,28,0.13,0,0.97,32037,4,1,0
CAB00064,2,20,12,0,1,-0.011,0,3,5,0.35,7,2,5.57,643,3,24,0.71,184,0.55,0,3,6548,0.71,171,10,0.61,0,0.59,23651,4,0,2
CAB00065,28,20,8,1,2,-0.044,6,4,9,0.01,16,1,5.61,459,2,24,0.98,279,0.12,0,2,2125,0.16,10,25,0.02,1,0.58,44038,3,0,1
CAB00066,19,25,11,1,2,-0.023,6,2,4,0.64,5,0,5.09,138,1,15,0.35,334,0.39,0,7,6057,0.1,66,20,0.45,1,0.76,13302,4,1,0
CAB00067,26,25,2,1,2,-0.085,3,1,12,0.26,16,1,5.64,605,8,7,0.61,218,0.04,3,0,9315,0.21,242,15,0.43,1,0.07,47085,3,0,1
CAB00068,12,20,4,1,1,-0.064,5,6,10,0.48,12,2,4.2,213,0,15,0.7,259,0.93,0,2,7348,0.98,217,38,0.95,0,0.66,29667,2,1,0
CAB00069,26,20,11,1,1,-0.062,2,2,9,0.39,17,2,5.09,703,9,12,0.89,202,1.0,2,1,1164,0.96,101,22,0.54,1,0.29,47291,1,1,0
CAB00070,1,25,1,0,2,-0.055,5,2,14,0.83,14,2,3.91,740,9,17,0.51,348,0.51,3,3,7509,0.47,246,34,0.01,0,0.97,18439,0,0,0
CAB00071,15,25,14,1,0,-0.048,5,2,6,0.35,6,0,4.51,768,6,22,0.53,7,0.63,1,9,7738,0.97,93,14,0.85,1,0.56,33354,4,1,2
CAB00072,7,20,9,0,1,-0.026,3,2,10,0.76,23,2,1.85,465,4,17,0.23,152,0.29,2,7,9368,0.02,19,32,0.1,0,0.8,22858,2,0,0
CAB00073,1,30,6,1,1,-0.088,0,3,6,0.17,22,1,2.45,579,4,7,0.16,167,0.17,2,2,7939,0.14,300,14,0.0,0,0.5,15780,1,0,1
CAB00074,12,20,9,0,0,-0.054,9,8,4,0.2,9,1,3.42,467,0,5,0.63,96,0.66,0,3,3810,0.91,19,34,0.44,0,0.14,11806,2,1,2
CAB00075,11,20,5,0,0,-0.088,0,9,2,0.94,14,1,3.08,634,7,22,0.33,52,0.35,3,3,1628,0.31,248,19,0.46,0,0.29,20951,4,0,0
CAB00076,7,25,3,1,0,-0.007,1,7,11,0.46,11,1,4.6,675,1,8,0.48,359,0.35,1,9,9984,0.54,32,35,0.99,1,0.32,10826,1,0,1
CAB00077,25,25,11,1,0,-0.058,5,2,2,0.69,19,1,4.57,528,7,24,0.26,315,0.31,3,5,2347,0.43,111,30,0.74,1,0.08,48398,3,0,1
CAB00078,9,25,6,0,1,-0.014,2,5,10,0.7,11,0,6.5,138,0,19,0.06,188,0.44,2,0,7737,0.35,273,31,0.71,0,0.57,21982,0,0,0
CAB00079,12,30,14,1,0,-0.053,6,0,11,0.33,6,2,5.12,157,5,19,0.35,352,0.56,3,8,4108,0.39,260,25,0.17,0,0.95,28182,3,0,0
CAB00080,23,30,1,1,2,-0.046,8,8,14,0.72,8,2,4.95,232,1,18,0.3,185,0.55,3,1,3003,0.68,172,14,0.52,0,0.07,33021,1,0,1
CAB00081,26,30,10,0,2,-0.042,1,8,6,0.07,17,0,2.08,685,1,19,0.06,123,0.79,0,5,7921,0.4,216,23,0.87,1,0.09,13504,2,0,0
CAB00082,15,30,2,0,2,-0.044,2,1,6,0.64,19,1,6.23,641,3,18,0.37,331,0.76,0,8,2373,0.72,19,14,0.6,1,0.34,41840,3,1,0
CAB00083,3,20,13,1,1,-0.05,5,6,10,0.27,13,2,1.98,130,4,17,0.76,95,0.28,0,3,3410,0.74,152,20,0.2,0,0.47,46451,1,0,0
CAB00084,1,20,0,1,1,-0.012,0,0,8,0.89,15,0,2.43,795,3,5,0.9,6,0.56,1,9,6983,0.31,65,19,0.57,0,0.41,2905,4,0,1
CAB00085,28,20,8,0,1,-0.082,9,5,9,0.99,9,1,3.13,197,8,15,0.58,329,0.08,0,1,3264,0.08,101,20,0.44,0,0.5,11582,2,0,0
CAB00086,20,30,13,0,0,-0.007,7,0,4,0.13,20,1,1.04,307,3,5,0.78,36,0.73,1,6,9267,0.39,264,29,0.22,1,0.22,9166,0,0,0
CAB00087,12,25,3,1,0,-0.061,2,7,9,0.18,14,2,4.42,501,6,17,0.74,260,0.74,3,3,9756,0.35,179,34,0.07,0,0.82,16621,4,0,1
CAB00088,9,30,7,1,2,-0.006,8,5,8,0.55,7,0,4.03,742,9,11,0.92,9,0.91,3,9,2241,0.2,196,12,0.14,1,0.81,9048,2,1,2
CAB00089,20,20,12,1,1,-0.082,4,3,6,0.83,7,0,6.74,330,4,13,0.71,196,0.69,3,6,5397,0.68,46,18,0.79,1,0.75,14180,4,1,0
CAB00090,9,25,4,0,1,-0.005,3,0,7,0.55,16,1,5.8,639,5,7,0.87,60,0.74,0,7,9005,0.31,65,14,0.91,1,0.3,14211,3,1,0
CAB00091,27,20,4,1,0,-0.035,2,5,11,0.74,7,2,1.86,247,6,18,0.7,347,0.31,3,0,9869,0.55,18,15,0.68,1,0.48,18739,4,0,0
CAB00092,14,30,10,1,1,-0.041,2,1,14,0.28,19,1,6.75,531,0,17,0.4,51,0.88,0,3,6553,0.7,175,17,0.11,1,0.97,36586,0,0,2
CAB00093,25,20,9,1,1,-0.043,6,2,6,0.11,7,2,5.23,567,5,14,0.94,112,0.08,2,2,5998,0.85,320,11,0.26,0,0.23,20502,0,0,2
CAB00094,29,25,4,0,0,-0.066,2,5,10,0.5,11,1,3.27,340,8,23,0.69,93,0.61,0,4,1868,0.35,289,37,0.24,0,0.8,3824,3,1,0
CAB00095,1,25,2,0,1,-0.03,3,1,13,0.66,4,1,7.76,469,3,11,0.92,39,0.34,2,6,7979,0.4,139,27,0.39,0,0.19,15979,4,0,0
CAB00096,14,20,14,1,0,-0.083,0,6,13,0.53,10,0,1.38,389,1,6,0.36,195,0.69,3,1,7113,0.02,259,31,0.42,1,0.79,3207,1,0,2
CAB00097,25,25,10,0,2,-0.086,2,6,5,0.21,7,2,3.26,125,8,24,0.57,293,0.48,4,1,4002,0.57,64,30,0.87,0,0.75,43681,2,1,2
CAB00098,27,30,1,0,0,-0.067,7,4,4,0.07,13,2,3.12,308,4,16,0.14,73,0.33,3,1,8810,0.55,37,33,0.52,1,0.78,14095,1,1,2
CAB00099,17,20,0,0,1,-0.078,5,2,5,0.39,4,1,6.74,536,6,18,0.14,154,0.46,4,6,3156,0.02,83,25,0.57,1,0.11,30512,3,1,1
CAB00100,22,30,10,0,0,-0.003,4,7,13,0.13,9,0,6.48,598,5,6,0.83,262,0.89,1,1,8059,0.26,349,20,0.06,1,0.39,47620,0,0,1
CAB00101,16,20,1,1,0,-0.029,4,9,5,0.31,4,1,4.02,104,5,19,0.34,100,0.55,1,2,6504,0.9,262,12,0.99,1,0.7,19377,3,0,0
CAB00102,3,20,5,0,0,-0.097,3,6,11,0.83,17,1,1.39,419,9,6,0.02,235,0.19,4,3,2918,0.6,172,16,0.36,1,0.76,35421,0,1,0
CAB00103,18,25,3,1,2,-0.081,7,1,4,0.37,11,1,4.98,344,2,18,0.28,297,0.37,0,1,5214,0.64,25,30,0.74,1,0.54,3402,2,1,0
CAB00104,6,30,8,1,0,-0.02,8,5,4,0.93,17,0,5.69,798,0,12,0.83,145,0.17,2,7,9396,0.74,305,19,0.42,1,0.42,17680,4,0,2
CAB00105,21,25,11,1,0,-0.007,2,6,11,0.94,7,0,2.78,130,4,13,0.21,102,0.27,3,8,4126,0.16,75,22,0.98,1,0.05,3836,2,1,1
