number,values_0,values_1,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
0,0.0,0.5,2025-07-01 20:15:48.313250,2025-07-01 20:15:48.496171,0 days 00:00:00.182921,0.4936111842654619,2,0.759195090518222,8.661761457749352,6.011150117432088,0.1205712628744377,15,10,122,COMPLETE
1,0.0,0.5,2025-07-01 20:15:48.496171,2025-07-01 20:15:48.644038,0 days 00:00:00.147867,0.5274034664069657,2,0.899465584480253,3.0424224295953772,5.247564316322379,0.2708160864249968,3,22,217,COMPLETE
2,0.0,0.5,2025-07-01 20:15:48.645543,2025-07-01 20:15:48.786102,0 days 00:00:00.140559,0.5752867891211308,3,0.4836963163912251,7.851759613930136,1.9967378215835974,0.08012737503998542,6,48,138,COMPLETE
3,0.0,0.5,2025-07-01 20:15:48.787100,2025-07-01 20:15:48.932358,0 days 00:00:00.145258,0.502314474212375,1,0.764526911140863,9.656320330745594,8.08397348116461,0.011711509955524094,10,96,162,COMPLETE
4,0.0,0.5,2025-07-01 20:15:48.933863,2025-07-01 20:15:49.075109,0 days 00:00:00.141246,0.47322294090686734,4,0.6640914962437607,9.093204020787821,2.587799816000169,0.1024932221692416,4,8,102,COMPLETE
5,0.0,0.5,2025-07-01 20:15:49.076108,2025-07-01 20:15:49.212666,0 days 00:00:00.136558,0.5109126733153162,7,0.7280261676059678,9.394989415641891,8.948273504276488,0.05864129169696527,7,79,204,COMPLETE
6,0.0,0.5,2025-07-01 20:15:49.213608,2025-07-01 20:15:49.353834,0 days 00:00:00.140226,0.4271363733463229,3,0.5175897174514872,2.713490317738959,8.287375091519294,0.01351182947645082,14,42,185,COMPLETE
7,0.0,0.5,2025-07-01 20:15:49.353834,2025-07-01 20:15:49.495064,0 days 00:00:00.141230,0.8813181884524238,1,0.4845545349848576,7.722447692966574,1.987156815341724,0.06333268775321843,6,99,117,COMPLETE
8,0.0,0.5,2025-07-01 20:15:49.496065,2025-07-01 20:15:49.631548,0 days 00:00:00.135483,0.8627622080115674,1,0.8374043008245924,1.1586905952512971,8.631034258755935,0.11069143219393454,13,39,16,COMPLETE
9,0.0,0.5,2025-07-01 20:15:49.631548,2025-07-01 20:15:49.877979,0 days 00:00:00.246431,0.5951099932160482,6,0.5865893930293973,8.872127425763265,4.722149251619493,0.012413189635294229,7,66,193,COMPLETE
10,0.0,0.5,2025-07-01 20:15:49.879017,2025-07-01 20:15:50.121890,0 days 00:00:00.242873,0.7128040071176207,5,0.9593742051470726,6.233765186294655,5.705478648816834,0.028477486830279893,11,6,285,COMPLETE
11,0.0,0.5,2025-07-01 20:15:50.122891,2025-07-01 20:15:50.335057,0 days 00:00:00.212166,0.9912317601695408,7,0.9493827824673247,4.271123056333319,0.14192230291496433,0.24950292438859506,3,28,298,COMPLETE
12,0.0,0.5,2025-07-01 20:15:50.335057,2025-07-01 20:15:50.506068,0 days 00:00:00.171011,0.7073076243747897,3,0.41380179541433165,0.33585884934472077,6.136560557063898,0.2501486662523489,12,65,19,COMPLETE
13,0.0,0.5,2025-07-01 20:15:50.507067,2025-07-01 20:15:50.711649,0 days 00:00:00.204582,0.8253901612492035,5,0.8526847246201821,4.970853936108525,9.964105383235907,0.029152747810719262,15,25,69,COMPLETE
14,0.0,0.5,2025-07-01 20:15:50.711649,2025-07-01 20:15:50.894100,0 days 00:00:00.182451,0.9989220831386239,2,0.62395500593541,2.9424160044289938,3.630810038985296,0.02709239415716324,8,81,241,COMPLETE
15,0.0,0.5,2025-07-01 20:15:50.894100,2025-07-01 20:15:51.085884,0 days 00:00:00.191784,0.7790717357501996,5,0.8460866411009753,6.527673192491948,6.7619260607907,0.1492064361780827,9,61,238,COMPLETE
16,0.0,0.5,2025-07-01 20:15:51.085884,2025-07-01 20:15:51.272717,0 days 00:00:00.186833,0.617401579461276,6,0.4051065391274259,2.8141425957895954,0.13179214380923554,0.03923911251663376,4,23,64,COMPLETE
17,0.0,0.5,2025-07-01 20:15:51.272717,2025-07-01 20:15:51.481103,0 days 00:00:00.208386,0.9180995442128566,2,0.7637849510107656,1.0083002447104352,4.445823312538884,0.16095599245337672,15,83,75,COMPLETE
18,0.0,0.5,2025-07-01 20:15:51.482101,2025-07-01 20:15:51.713512,0 days 00:00:00.231411,0.7624951297007198,4,0.5624564881241527,3.8901647405598716,7.240528149847288,0.01865366775523775,11,16,259,COMPLETE
19,0.0,0.5,2025-07-01 20:15:51.713512,2025-07-01 20:15:51.929586,0 days 00:00:00.216074,0.646132253553586,6,0.9947663176861599,6.427654544859113,1.3123825455108342,0.040987716954164685,13,56,221,COMPLETE
20,0.0,0.5,2025-07-01 20:15:51.929586,2025-07-01 20:15:52.134506,0 days 00:00:00.204920,0.4090127269754123,2,0.6836706351619432,7.676037927976135,3.5438831085817957,0.019002366091800605,5,35,164,COMPLETE
21,0.0,0.5,2025-07-01 20:15:52.134506,2025-07-01 20:15:52.313912,0 days 00:00:00.179406,0.5559004512127927,3,0.904584567003541,7.500070958420018,9.833778911125407,0.07844120928554818,9,50,124,COMPLETE
22,0.0,0.5,2025-07-01 20:15:52.313912,2025-07-01 20:15:52.479491,0 days 00:00:00.165579,0.9335723255276486,7,0.506146478786935,1.42839147795224,1.3216827715702548,0.29866382759093046,3,72,142,COMPLETE
23,0.0,0.5,2025-07-01 20:15:52.479491,2025-07-01 20:15:52.655280,0 days 00:00:00.175789,0.6608490874900975,4,0.7941779152925503,5.403393404237219,3.614036950167214,0.1652429312726125,6,90,47,COMPLETE
24,0.0,0.5,2025-07-01 20:15:52.655280,2025-07-01 20:15:52.825329,0 days 00:00:00.170049,0.7798398510430555,3,0.46727281071615484,2.0710100443509583,5.36598636942416,0.018356314158332124,9,48,91,COMPLETE
25,0.0,0.5,2025-07-01 20:15:52.825329,2025-07-01 20:15:53.018889,0 days 00:00:00.193560,0.5439600550470821,6,0.6114028491266394,0.2099281667769981,2.7003445426356487,0.040329816038146664,11,16,275,COMPLETE
26,0.0,0.5,2025-07-01 20:15:53.018889,2025-07-01 20:15:53.183766,0 days 00:00:00.164877,0.8276330347077884,2,0.8967279481163226,8.348689879504686,7.306171006433204,0.08837127950851593,13,90,143,COMPLETE
27,0.0,0.5,2025-07-01 20:15:53.183766,2025-07-01 20:15:53.371003,0 days 00:00:00.187237,0.9467297740955093,5,0.5482051547887192,3.7175122058560084,0.9333441428263409,0.18925428711901468,5,73,42,COMPLETE
28,0.0,0.5,2025-07-01 20:15:53.371507,2025-07-01 20:15:53.550979,0 days 00:00:00.179472,0.46101947508623226,1,0.7171696849305701,5.374245436903508,6.581433275702547,0.010087163019555393,8,34,176,COMPLETE
29,0.0,0.5,2025-07-01 20:15:53.550979,2025-07-01 20:15:53.730232,0 days 00:00:00.179253,0.7375001957675482,4,0.6558678608729859,4.650042356222869,7.924191963027246,0.12253757013656191,10,91,214,COMPLETE
30,0.0,0.5,2025-07-01 20:15:53.731231,2025-07-01 20:15:53.906816,0 days 00:00:00.175585,0.6527260413496405,7,0.4463544442136423,7.175849609921434,9.173406139179857,0.01573713449072056,14,46,244,COMPLETE
31,0.0,0.5,2025-07-01 20:15:53.906816,2025-07-01 20:15:54.074276,0 days 00:00:00.167460,0.48772698554412974,1,0.7771161366410292,9.682420756548032,2.2267418581934106,0.07577996328481212,4,100,100,COMPLETE
32,0.0,0.5,2025-07-01 20:15:54.074276,2025-07-01 20:15:54.247411,0 days 00:00:00.173135,0.5274601887855497,4,0.6578694286964486,8.84866628300073,2.851103577524945,0.05191557103648691,10,17,149,COMPLETE
33,0.0,0.5,2025-07-01 20:15:54.247411,2025-07-01 20:15:54.419495,0 days 00:00:00.172084,0.44161451655391604,6,0.9035540888189951,9.977336722116672,4.371918574345922,0.022454579055111754,7,9,117,COMPLETE
34,0.0,0.5,2025-07-01 20:15:54.420493,2025-07-01 20:15:54.595080,0 days 00:00:00.174587,0.5968303772495912,7,0.7436459872690747,2.0310873625210704,7.862122851027706,0.05712500435029041,12,74,198,COMPLETE
35,0.0,0.5,2025-07-01 20:15:54.596080,2025-07-01 20:15:54.761615,0 days 00:00:00.165535,0.4941064841136013,2,0.8115676644441406,3.352148672544413,9.096846843655122,0.12494127362200813,6,55,164,COMPLETE
36,0.0,0.5,2025-07-01 20:15:54.761615,2025-07-01 20:15:54.941914,0 days 00:00:00.180299,0.8079126556386023,3,0.5198793890775448,8.287931271359863,0.7895164561246784,0.046539210977169815,8,31,42,COMPLETE
37,0.0,0.5,2025-07-01 20:15:54.941914,2025-07-01 20:15:55.124736,0 days 00:00:00.182822,0.40010293840706374,1,0.9883356425912923,5.625974352142764,5.459649990893573,0.010210964711522047,14,43,271,COMPLETE
38,0.0,0.5,2025-07-01 20:15:55.125735,2025-07-01 20:15:55.347009,0 days 00:00:00.221274,0.8692756960511339,5,0.6929814990503498,6.9854865759599,2.0939421376769998,0.09968263984735232,4,61,297,COMPLETE
39,0.0,0.5,2025-07-01 20:15:55.347009,2025-07-01 20:15:55.527137,0 days 00:00:00.180128,0.8976008891178242,3,0.873585952349224,5.924991803588647,8.419413783471306,0.03313174339224696,10,95,181,COMPLETE
40,0.0,0.5,2025-07-01 20:15:55.527137,2025-07-01 20:15:55.698705,0 days 00:00:00.171568,0.6830322781542054,4,0.4426608594046844,1.9056660629251332,6.032291182395319,0.2141574503508698,5,11,125,COMPLETE
41,0.0,0.5,2025-07-01 20:15:55.698705,2025-07-01 20:15:55.872506,0 days 00:00:00.173801,0.5830432906284144,1,0.9573486796481054,9.33293954065485,4.8880612864085435,0.06625659621938686,14,23,100,COMPLETE
42,0.0,0.5,2025-07-01 20:15:55.873506,2025-07-01 20:15:56.054601,0 days 00:00:00.181095,0.9779776878640659,7,0.6198505699418942,0.7436246214539448,2.7926747748135075,0.01327514229786918,12,39,219,COMPLETE
43,0.0,0.5,2025-07-01 20:15:56.054601,2025-07-01 20:15:56.219884,0 days 00:00:00.165283,0.8431743831893581,6,0.8199565395749148,4.657941670344986,4.088089897356189,0.13512620686940166,6,86,16,COMPLETE
44,0.0,0.5,2025-07-01 20:15:56.219884,2025-07-01 20:15:56.390618,0 days 00:00:00.170734,0.7252890366205659,5,0.5750286230001089,2.475368776569412,6.634177333066056,0.02441337783736494,3,78,256,COMPLETE
45,0.0,0.5,2025-07-01 20:15:56.390618,2025-07-01 20:15:56.560513,0 days 00:00:00.169895,0.682517703606339,3,0.9365698224190528,8.461451776525449,0.5212638737504456,0.2934226784039561,8,61,29,COMPLETE
46,0.0,0.5,2025-07-01 20:15:56.560513,2025-07-01 20:15:56.732747,0 days 00:00:00.172234,0.6255861781718812,2,0.5350992290423127,3.330573166924489,1.6678700441091743,0.09960011462917844,15,67,76,COMPLETE
47,0.0,0.5,2025-07-01 20:15:56.732747,2025-07-01 20:15:56.914224,0 days 00:00:00.181477,0.9591949134437159,5,0.7378785245135822,0.6214653281348834,9.473448563572799,0.032520233597886875,13,40,226,COMPLETE
48,0.0,0.5,2025-07-01 20:15:56.915228,2025-07-01 20:15:57.099115,0 days 00:00:00.183887,0.9026710510824456,6,0.6635354372216187,1.5076407714049678,7.373394743347954,0.012204660292746273,7,26,206,COMPLETE
49,0.0,0.5,2025-07-01 20:15:57.099115,2025-07-01 20:15:57.275895,0 days 00:00:00.176780,0.4655532560698713,1,0.4889925029145367,6.879082807003949,3.2558941964873873,0.23881132771652544,11,5,191,COMPLETE
50,0.0,0.5,2025-07-01 20:15:57.275895,2025-07-01 20:15:57.442526,0 days 00:00:00.166631,0.5688208951474918,7,0.5965043519702389,9.136111694769372,8.732155590640541,0.014882868320162959,15,53,65,COMPLETE
51,0.0,0.5,2025-07-01 20:15:57.442526,2025-07-01 20:15:57.612587,0 days 00:00:00.170061,0.7434852428866843,4,0.8637403961412096,3.9207949126012727,6.042438833487417,0.18229671315007495,12,68,53,COMPLETE
52,0.0,0.5,2025-07-01 20:15:57.612587,2025-07-01 20:15:57.785806,0 days 00:00:00.173219,0.7938933029759264,2,0.4358093500761959,6.227912387332115,5.067607935169473,0.06490543109751687,9,81,111,COMPLETE
53,0.0,0.5,2025-07-01 20:15:57.785806,2025-07-01 20:15:57.961809,0 days 00:00:00.176003,0.6956473822934679,5,0.9265154267877438,8.063357141352233,3.938288217800399,0.03460404186809619,6,58,131,COMPLETE
54,0.0,0.5,2025-07-01 20:15:57.961809,2025-07-01 20:15:58.140203,0 days 00:00:00.178394,0.5165561935239767,6,0.712811090217307,4.47151631193716,0.08811122030219387,0.023252193080418797,7,95,283,COMPLETE
55,0.0,0.5,2025-07-01 20:15:58.140203,2025-07-01 20:15:58.307032,0 days 00:00:00.166829,0.7583145123262256,3,0.41347566953193365,5.099871110439464,7.880871994634818,0.047260411793232884,3,35,83,COMPLETE
56,0.0,0.5,2025-07-01 20:15:58.308032,2025-07-01 20:15:58.490953,0 days 00:00:00.182921,0.842276623075577,4,0.9778970452849338,2.504364550109944,7.01711367308785,0.028745751923339603,10,19,166,COMPLETE
57,0.0,0.5,2025-07-01 20:15:58.490953,2025-07-01 20:15:58.667708,0 days 00:00:00.176755,0.44024769639628053,2,0.8292719035795922,1.3181153934864156,2.398393590963722,0.07829547981339346,13,85,231,COMPLETE
58,0.0,0.5,2025-07-01 20:15:58.667708,2025-07-01 20:15:58.849050,0 days 00:00:00.181342,0.6258678797559577,1,0.47118277394877717,0.07002540405995994,1.4354735556137443,0.018642099840805112,4,30,253,COMPLETE
59,0.0,0.5,2025-07-01 20:15:58.849050,2025-07-01 20:15:59.038462,0 days 00:00:00.189412,0.9822608370515228,3,0.7807806927941586,7.919227671064588,9.790668641566432,0.14773559373367515,5,13,150,COMPLETE
60,0.0,0.5,2025-07-01 20:15:59.038462,2025-07-01 20:15:59.224117,0 days 00:00:00.185655,0.9997757309881458,7,0.644814068678943,4.236644668561082,5.704399746445981,0.011807962054902487,11,77,296,COMPLETE
61,0.0,0.5,2025-07-01 20:15:59.225118,2025-07-01 20:15:59.406217,0 days 00:00:00.181099,0.8831722057538853,5,0.5563400736598787,3.0797504424452358,4.549922105169815,0.10498048300920756,14,49,134,COMPLETE
62,0.0,0.5,2025-07-01 20:15:59.406217,2025-07-01 20:15:59.587325,0 days 00:00:00.181108,0.9220942515242139,6,0.5923138146825824,7.318613873438638,8.608303174163083,0.2126687455520439,7,70,265,COMPLETE
63,0.0,0.5,2025-07-01 20:15:59.588326,2025-07-01 20:15:59.765333,0 days 00:00:00.177007,0.5966852243529359,4,0.7535762517597644,6.533249835787723,6.41629794544181,0.0898640665579317,8,45,54,COMPLETE
64,0.0,0.5,2025-07-01 20:15:59.765333,2025-07-01 20:15:59.969418,0 days 00:00:00.204085,0.5433960085228932,3,0.8854156160592742,8.853346972755247,3.15915751380249,0.020571053330777262,11,8,243,COMPLETE
65,0.0,0.5,2025-07-01 20:15:59.969418,2025-07-01 20:16:00.180331,0 days 00:00:00.210913,0.49722952109964347,7,0.8508581783049134,1.670494533024689,0.521034877103669,0.015663737267876898,5,21,179,COMPLETE
66,0.0,0.5,2025-07-01 20:16:00.180331,2025-07-01 20:16:00.361150,0 days 00:00:00.180819,0.6697787065281858,1,0.6806253843467945,5.829902537177445,1.8556974973038587,0.03730319133694264,9,96,23,COMPLETE
67,0.0,0.5,2025-07-01 20:16:00.361150,2025-07-01 20:16:00.533095,0 days 00:00:00.171945,0.4176999050673695,2,0.7982513820869548,0.9818104397602037,8.303020809111622,0.02660834138105318,3,52,90,COMPLETE
68,0.0,0.5,2025-07-01 20:16:00.534095,2025-07-01 20:16:00.712539,0 days 00:00:00.178444,0.8159364373174407,4,0.5054521127931315,2.6355307651684425,7.539425340221166,0.05964258919020791,4,61,190,COMPLETE
69,0.0,0.5,2025-07-01 20:16:00.713538,2025-07-01 20:16:00.880475,0 days 00:00:00.166937,0.6375211013217558,5,0.7205589337357529,9.701337030195145,3.908890331604665,0.11715367370384118,13,88,33,COMPLETE
70,0.0,0.5,2025-07-01 20:16:00.880475,2025-07-01 20:16:01.056842,0 days 00:00:00.176367,0.7130663582090048,2,0.6415443874819211,7.663041216376765,5.199414836400715,0.04382445387939939,9,39,107,COMPLETE
71,0.0,0.5,2025-07-01 20:16:01.056842,2025-07-01 20:16:01.244980,0 days 00:00:00.188138,0.9451284837666436,7,0.4278776980687884,5.170061695985579,0.9752187989389816,0.26980513832857284,10,100,205,COMPLETE
72,0.0,0.5,2025-07-01 20:16:01.245985,2025-07-01 20:16:01.453161,0 days 00:00:00.207176,0.7618806273703966,5,0.9245063242416385,3.988782970601016,6.981664877237959,0.06878550647539367,6,76,275,COMPLETE
73,0.0,0.5,2025-07-01 20:16:01.453161,2025-07-01 20:16:01.663269,0 days 00:00:00.210108,0.783639273846614,6,0.9633128259496269,8.570956094806586,2.4880354841358034,0.05219531331030368,12,28,235,COMPLETE
74,0.0,0.5,2025-07-01 20:16:01.664271,2025-07-01 20:16:01.868081,0 days 00:00:00.203810,0.8669543702875402,3,0.45921545058927227,3.5839050197044653,3.2942198126203754,0.08920618405086955,14,64,160,COMPLETE
75,0.0,0.5,2025-07-01 20:16:01.869081,2025-07-01 20:16:02.091422,0 days 00:00:00.222341,0.845249891634088,1,0.5336373763892639,0.3283071472724419,9.124001928470367,0.15650047130660497,15,13,284,COMPLETE
76,0.0,0.5,2025-07-01 20:16:02.092421,2025-07-01 20:16:02.280030,0 days 00:00:00.187609,0.4742622842292641,6,0.9954563758921774,6.723009379735556,4.265005570476984,0.18703971425335733,7,92,171,COMPLETE
77,0.0,0.5,2025-07-01 20:16:02.280030,2025-07-01 20:16:02.515872,0 days 00:00:00.235842,0.43842949328228437,3,0.5689316910658497,2.319707326912821,5.680563968151065,0.01663207045554484,8,34,149,COMPLETE
