feature,importance_weight,importance_gain,importance_cover,importance_weight_norm,importance_gain_norm,importance_cover_norm
AgeFailureInteraction,0.38396263,161.1459503173828,1441.7403564453125,0.38396263,0.383962640699569,0.045825982322475214
AnomalyRate,0.07587548,31.84431266784668,1108.1177978515625,0.07587548,0.07587548032778717,0.035221727954378765
MaintenanceRiskScore,0.07487451,31.42421531677246,1068.0986328125,0.07487451,0.07487451388741642,0.03394971143528658
TotalAnomalies,0.066232316,27.797155380249023,959.4437866210938,0.066232316,0.06623231401543538,0.030496097170721513
AssetAgeYears,0.06047704,25.3817138671875,1125.3563232421875,0.06047704,0.060477038751093705,0.03576965765356818
NumberOfRepairs,0.04969267,20.85560417175293,921.8889770507812,0.04969267,0.04969267198709991,0.02930241064332469
InspectionDefectSeverityScore,0.035911657,15.071825981140137,998.5420532226562,0.035911657,0.035911657056756294,0.03173884276365213
WarrantyUtilizationRatio,0.027959662,11.7344388961792,838.545654296875,0.027959662,0.027959661020526952,0.026653327805251464
ElectricalRiskScore,0.024334194,10.212860107421875,671.5326538085938,0.024334194,0.02433419349488915,0.021344788876043908
PartialDischargeSeverityScore,0.023031257,9.666028022766113,792.9683837890625,0.023031257,0.023031256059414373,0.025204645881865967
NumberOfFailuresPast3Years,0.017713537,7.434225559234619,734.5394897460938,0.017713537,0.017713537769071964,0.023347472741386963
VibrationAnomaliesPast1Year,0.01698188,7.12715482711792,717.7334594726562,0.01698188,0.016981879983363653,0.022813289979020247
RatedLifespanYears,0.009491721,3.9835970401763916,633.4776000976562,0.009491721,0.009491721237900208,0.020135201996657408
FailureToRepairRatio,0.008493741,3.5647530555725098,527.9837646484375,0.008493741,0.008493741195256293,0.016782061039747956
AvgVoltageDeviationPercent,0.007662552,3.215909719467163,491.6938781738281,0.007662552,0.0076625517780996655,0.01562858032552952
InspectionRecencyDecay,0.007653823,3.2122464179992676,484.8072204589844,0.007653823,0.007653823225489306,0.015409686643813163
YearsRemainingWarranty,0.0076437383,3.2080137729644775,644.8558349609375,0.0076437383,0.007643738097308913,0.020496861283903333
TemperatureAnomaliesPast1Year,0.0074827457,3.140446662902832,688.9090576171875,0.0074827457,0.007482745866647133,0.02189710106610017
TimeSinceLastInspectionDays,0.005932304,2.489738941192627,460.635986328125,0.005932304,0.005932303831589057,0.014641399522597945
LoadVoltageStress,0.0057566334,2.4160115718841553,394.8917541503906,0.0057566334,0.005756633544152368,0.012551707014433878
EnvironmentalStress,0.0053359857,2.239469051361084,644.6972045898438,0.0053359857,0.005335985477959641,0.020491819188390745
FailureRatePerYear,0.0049855686,2.0924019813537598,681.8922729492188,0.0049855686,0.004985568601527163,0.021674071275252286
PDThresholdBreachesPast1Year,0.004908798,2.0601818561553955,1018.61572265625,0.004908798,0.004908797672251752,0.03237688803754536
LastRepairAgeYears,0.004430775,1.8595597743988037,1095.92041015625,0.004430775,0.004430775207882094,0.03483403174374906
MaterialInstallationType_1_1,0.0,1.8150744438171387,466.6624755859375,0.0,0.004324779959668358,0.014832952591748353
RepairRecencyDecay,0.0042822296,1.7972162961959839,674.3832397460938,0.0042822296,0.004282229330843268,0.021435395274204704
SoilCorrosivityIndex,0.0037310673,1.5658981800079346,493.09375,0.0037310673,0.0037310673900170553,0.015673075508918884
MaterialInstallationType_1_2,0.0025680873,1.5616827011108398,684.3963623046875,0.0025680873,0.0037210231636126442,0.021753664215842877
AvgGroundTemperatureCelsius,0.0033746872,1.4163283109664917,870.279296875,0.0033746872,0.00337468709145459,0.027661987469463384
MaterialInstallationType_1_0,0.0,1.410182237625122,371.6823425292969,0.0,0.0033600428354528867,0.011813991598541906
LastFCITriggerRecencyDays,0.0032796266,1.376432180404663,542.6002807617188,0.0032796266,0.0032796265353931815,0.017246649691948043
ConnectedLoadKW,0.0031934122,1.340248703956604,384.3947448730469,0.0031934122,0.0031934121245480785,0.012218057644467963
SwitchingEventsPerYear,0.003180811,1.3349601030349731,322.2536926269531,0.003180811,0.0031808109690646415,0.010242892872947941
EstimatedDowntimeCostPerFailure,0.0031278196,1.3127200603485107,457.9818115234375,0.0031278196,0.003127819593840215,0.01455703608840772
FailureImpactScore,0.0031198307,1.3093671798706055,793.764404296875,0.0031198307,0.003119830681678842,0.025229947540071112
AvgRepairDurationHours,0.0030648378,1.2862870693206787,427.95733642578125,0.0030648378,0.0030648376757923517,0.013602702626827196
CriticalityScore,0.0028788294,1.2082209587097168,890.7105712890625,0.0028788294,0.0028788294644764996,0.02831139928341366
InsulationResistanceTrend,0.002849488,1.195906639099121,393.9219665527344,0.002849488,0.002849488121012451,0.012520882137327487
PeakLoadKW,0.0028366055,1.1904999017715454,418.2983703613281,0.0028366055,0.002836605481779035,0.01329569061447405
MaterialInstallationType_0_1,0.0,1.1592124700546265,1002.12158203125,0.0,0.0027620568823319173,0.0318526187450014
FCITriggerRatePerYear,0.0026982382,1.1324282884597778,360.5277404785156,0.0026982382,0.0026982381821171126,0.01145944052136067
MaterialInstallationType_0_2,0.002762057,1.0778050422668457,1297.3955078125,0.002762057,0.002568087310745457,0.04123795476798778
SensitiveCustomerCount,0.0024595107,1.0322363376617432,1053.44775390625,0.0024595107,0.0024595107060031507,0.03348403055539369
OverloadEventCountPast3Years,0.0023617856,0.9912219643592834,408.4376525878906,0.0023617856,0.0023617857116807113,0.01298226588695474
