number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
0,0.0,2025-07-01 20:15:29.083513,2025-07-01 20:15:29.244846,0 days 00:00:00.161333,0.4936111842654619,2,0.759195090518222,8.661761457749352,6.011150117432088,0.1205712628744377,15,10,122,COMPLETE
1,0.0,2025-07-01 20:15:29.244846,2025-07-01 20:15:29.414792,0 days 00:00:00.169946,0.5274034664069657,2,0.899465584480253,3.0424224295953772,5.247564316322379,0.2708160864249968,3,22,217,COMPLETE
2,0.0,2025-07-01 20:15:29.414792,2025-07-01 20:15:29.569067,0 days 00:00:00.154275,0.5752867891211308,3,0.4836963163912251,7.851759613930136,1.9967378215835974,0.08012737503998542,6,48,138,COMPLETE
3,0.0,2025-07-01 20:15:29.569067,2025-07-01 20:15:29.718023,0 days 00:00:00.148956,0.502314474212375,1,0.764526911140863,9.656320330745594,8.08397348116461,0.011711509955524094,10,96,162,COMPLETE
4,0.0,2025-07-01 20:15:29.719023,2025-07-01 20:15:29.862909,0 days 00:00:00.143886,0.47322294090686734,4,0.6640914962437607,9.093204020787821,2.587799816000169,0.1024932221692416,4,8,102,COMPLETE
5,0.0,2025-07-01 20:15:29.862909,2025-07-01 20:15:30.025230,0 days 00:00:00.162321,0.5109126733153162,7,0.7280261676059678,9.394989415641891,8.948273504276488,0.05864129169696527,7,79,204,COMPLETE
6,0.0,2025-07-01 20:15:30.025230,2025-07-01 20:15:30.184536,0 days 00:00:00.159306,0.4271363733463229,3,0.5175897174514872,2.713490317738959,8.287375091519294,0.01351182947645082,14,42,185,COMPLETE
7,0.0,2025-07-01 20:15:30.185535,2025-07-01 20:15:30.329285,0 days 00:00:00.143750,0.8813181884524238,1,0.4845545349848576,7.722447692966574,1.987156815341724,0.06333268775321843,6,99,117,COMPLETE
8,0.0,2025-07-01 20:15:30.329285,2025-07-01 20:15:30.461540,0 days 00:00:00.132255,0.8627622080115674,1,0.8374043008245924,1.1586905952512971,8.631034258755935,0.11069143219393454,13,39,16,COMPLETE
9,0.0,2025-07-01 20:15:30.461540,2025-07-01 20:15:30.623484,0 days 00:00:00.161944,0.5951099932160482,6,0.5865893930293973,8.872127425763265,4.722149251619493,0.012413189635294229,7,66,193,COMPLETE
10,0.0,2025-07-01 20:15:30.623484,2025-07-01 20:15:30.832768,0 days 00:00:00.209284,0.7128040071176207,5,0.9593742051470726,6.233765186294655,5.705478648816834,0.028477486830279893,11,6,285,COMPLETE
11,0.0,2025-07-01 20:15:30.832768,2025-07-01 20:15:31.024014,0 days 00:00:00.191246,0.6957186221902294,3,0.9222211478111476,3.9993401276756817,5.602497503032242,0.26817078508151854,3,26,252,COMPLETE
12,0.0,2025-07-01 20:15:31.024014,2025-07-01 20:15:31.191030,0 days 00:00:00.167016,0.6812231313327055,2,0.8326256025097014,5.0973979890103935,4.2033169967497095,0.25883506810244084,15,28,70,COMPLETE
13,0.0,2025-07-01 20:15:31.191030,2025-07-01 20:15:31.466526,0 days 00:00:00.275496,0.40327143373212776,2,0.999617463184931,1.7057827940885528,6.855046081289343,0.15995102405445344,11,22,253,COMPLETE
14,0.0,2025-07-01 20:15:31.467525,2025-07-01 20:15:31.687856,0 days 00:00:00.220331,0.6006016523104772,2,0.8673035216962902,3.5715137995748387,3.634065323747784,0.17080659935001288,9,21,60,COMPLETE
15,0.0,2025-07-01 20:15:31.687856,2025-07-01 20:15:31.923397,0 days 00:00:00.235541,0.7860348338151129,4,0.6451108826171558,0.15510381994227274,6.696242694360999,0.16625944364237574,13,61,230,COMPLETE
16,0.0,2025-07-01 20:15:31.924399,2025-07-01 20:15:32.136068,0 days 00:00:00.211669,0.5529771286704709,2,0.7755987548958809,5.916289414087689,0.13179214380923554,0.03167502366659872,4,13,156,COMPLETE
17,0.0,2025-07-01 20:15:32.136068,2025-07-01 20:15:32.366073,0 days 00:00:00.230005,0.6541007176208261,5,0.9011435254098324,7.370095621276697,9.910985934143602,0.2754554257172803,9,35,291,COMPLETE
18,0.0,2025-07-01 20:15:32.366073,2025-07-01 20:15:32.556219,0 days 00:00:00.190146,0.7624951297007198,3,0.4039252486182916,4.480047581616441,6.804681149427499,0.03604696968977697,12,15,96,COMPLETE
19,0.0,2025-07-01 20:15:32.556219,2025-07-01 20:15:32.744419,0 days 00:00:00.188200,0.44449278036281675,4,0.7870870384828166,2.705418442755277,3.33795886786685,0.11744851804282604,8,55,221,COMPLETE
20,0.0,2025-07-01 20:15:32.744419,2025-07-01 20:15:32.978745,0 days 00:00:00.234326,0.9670574533532417,1,0.7073035455134473,6.109419986889795,5.935992583320445,0.19533630974741556,15,31,157,COMPLETE
21,0.0,2025-07-01 20:15:32.979744,2025-07-01 20:15:33.174921,0 days 00:00:00.195177,0.5695549820203439,3,0.5583727080992505,7.9485460074292735,0.9443665865179536,0.07870183784266181,5,45,124,COMPLETE
22,0.0,2025-07-01 20:15:33.175921,2025-07-01 20:15:33.373831,0 days 00:00:00.197910,0.5339771892963531,2,0.6232459220056038,7.020014768886059,4.844455435364334,0.04398189955114848,3,72,142,COMPLETE
23,0.0,2025-07-01 20:15:33.373831,2025-07-01 20:15:33.554419,0 days 00:00:00.180588,0.6269456374728711,3,0.410987318854307,8.183944068729494,2.4351001160119434,0.09701544808702595,5,49,177,COMPLETE
24,0.0,2025-07-01 20:15:33.554419,2025-07-01 20:15:33.728354,0 days 00:00:00.173935,0.4853425747660952,2,0.4769087053348806,5.253625555394763,3.711474026033981,0.07488893191233488,6,17,75,COMPLETE
25,0.0,2025-07-01 20:15:33.729356,2025-07-01 20:15:33.906862,0 days 00:00:00.177506,0.5528055983804335,3,0.8075266932565642,8.533012648195031,0.9529338890229251,0.13745541553982257,5,6,140,COMPLETE
26,0.0,2025-07-01 20:15:33.907863,2025-07-01 20:15:34.072240,0 days 00:00:00.164377,0.45852171061908203,2,0.7443723173067875,7.063801435187724,7.361099818934926,0.21590200607321333,7,55,28,COMPLETE
27,0.0,2025-07-01 20:15:34.073241,2025-07-01 20:15:34.249425,0 days 00:00:00.176184,0.6232931827415775,4,0.6794352855108945,9.895420764074496,6.094934702074951,0.017810439777166676,4,37,215,COMPLETE
28,0.0,2025-07-01 20:15:34.249425,2025-07-01 20:15:34.441708,0 days 00:00:00.192283,0.5208258559145772,5,0.8842170539300817,2.660551226035732,4.395104112288642,0.0804240885230043,8,23,243,COMPLETE
29,0.0,2025-07-01 20:15:34.441708,2025-07-01 20:15:34.624788,0 days 00:00:00.183080,0.4989246847566699,1,0.9701435963445947,3.2642690504243235,2.9656079328352947,0.04970917336815853,10,79,171,COMPLETE
30,0.0,2025-07-01 20:15:34.625789,2025-07-01 20:15:34.789274,0 days 00:00:00.163485,0.40138451562765476,1,0.6010762915756388,2.0008006048696823,7.590842160996372,0.13488959138550238,3,13,134,COMPLETE
31,0.0,2025-07-01 20:15:34.789274,2025-07-01 20:15:34.964121,0 days 00:00:00.174847,0.4710906237777566,1,0.7563510866588009,9.79021964412576,5.1599587922191485,0.025262873302905067,10,100,112,COMPLETE
32,0.0,2025-07-01 20:15:34.964121,2025-07-01 20:15:35.133912,0 days 00:00:00.169791,0.5135316656748758,2,0.6948195440521542,9.007308511439243,9.907458665061286,0.02174606293132475,6,90,95,COMPLETE
33,0.0,2025-07-01 20:15:35.134911,2025-07-01 20:15:35.331711,0 days 00:00:00.196800,0.5803486878192208,3,0.8264786321505833,9.022411600789251,8.084090109264677,0.040993008605745,14,83,201,COMPLETE
34,0.0,2025-07-01 20:15:35.331711,2025-07-01 20:15:35.509428,0 days 00:00:00.177717,0.4414204857746704,7,0.7285668518847229,9.405025549030869,9.118542471940666,0.060139188644410785,8,69,168,COMPLETE
35,0.0,2025-07-01 20:15:35.510427,2025-07-01 20:15:35.729078,0 days 00:00:00.218651,0.4834540982117603,1,0.6612468166970525,8.201924643089688,9.099933852714383,0.09364149573021768,13,91,151,COMPLETE
36,0.0,2025-07-01 20:15:35.730083,2025-07-01 20:15:36.011870,0 days 00:00:00.281787,0.5313915070202937,1,0.5415082511493985,7.493530757946314,1.6609836873747517,0.014888463560777334,7,45,186,COMPLETE
37,0.0,2025-07-01 20:15:36.013208,2025-07-01 20:15:36.230879,0 days 00:00:00.217671,0.6374357370436001,4,0.4621164408731475,6.741056392503517,7.826447982213577,0.011106177733945734,12,61,111,COMPLETE
38,0.0,2025-07-01 20:15:36.230879,2025-07-01 20:15:36.477852,0 days 00:00:00.246973,0.43249560675877763,2,0.8570329002681475,8.568376769895517,6.410376393989731,0.06750932168685053,5,31,277,COMPLETE
